	Maupassant_UneVie_0	Maupassant_UneVie_1	Maupassant_UneVie_2	Maupassant_UneVie_3	Maupassant_UneVie_4	Maupassant_UneVie_5	Maupassant_UneVie_6	Maupassant_UneVie_7	Maupassant_UneVie_8	Maupassant_UneVie_9	Maupassant_UneVie_10	Maupassant_UneVie_11	Maupassant_UneVie_12	Maupassant_UneVie_13	Maupassant_UneVie_14	Maupassant_UneVie_15	Maupassant_UneVie_16	Maupassant_UneVie_17	Maupassant_UneVie_18	Maupassant_UneVie_19	Maupassant_UneVie_20	Maupassant_UneVie_21	Maupassant_UneVie_22	Maupassant_UneVie_23	Maupassant_UneVie_24	Maupassant_UneVie_25	Maupassant_UneVie_26	Maupassant_UneVie_27	Maupassant_UneVie_28	Maupassant_UneVie_29	Maupassant_UneVie_30	Maupassant_UneVie_31	Maupassant_UneVie_32	Maupassant_UneVie_33	Maupassant_UneVie_34	Maupassant_UneVie_35	Maupassant_UneVie_36	Maupassant_UneVie_37	Maupassant_UneVie_38	Maupassant_UneVie_39	Maupassant_UneVie_40	Maupassant_UneVie_41	Maupassant_UneVie_42	Maupassant_UneVie_43	Maupassant_UneVie_44	Maupassant_UneVie_45	Maupassant_UneVie_46	Maupassant_UneVie_47	Maupassant_UneVie_48	Maupassant_UneVie_49	Maupassant_UneVie_50	Maupassant_UneVie_51	Maupassant_UneVie_52	Maupassant_UneVie_53	Maupassant_UneVie_54	Maupassant_UneVie_55	Maupassant_UneVie_56	Maupassant_UneVie_57	Maupassant_UneVie_58	Maupassant_UneVie_59	Maupassant_UneVie_60	Maupassant_UneVie_61	Maupassant_UneVie_62	Maupassant_UneVie_63	Maupassant_UneVie_64	Maupassant_UneVie_65	Maupassant_UneVie_66	Maupassant_UneVie_67	Maupassant_UneVie_68	Maupassant_UneVie_69	Maupassant_UneVie_70	Maupassant_UneVie_71	Maupassant_UneVie_72	Maupassant_UneVie_73	Maupassant_UneVie_74	Maupassant_UneVie_75	Maupassant_UneVie_76	Maupassant_UneVie_77	Maupassant_UneVie_78	Maupassant_UneVie_79	Maupassant_UneVie_80	Maupassant_UneVie_81	Maupassant_UneVie_82	Maupassant_UneVie_83	Maupassant_UneVie_84	Maupassant_UneVie_85	Maupassant_UneVie_86	Maupassant_UneVie_87	Maupassant_UneVie_88	Maupassant_UneVie_89	Maupassant_UneVie_90	Maupassant_UneVie_91	Maupassant_UneVie_92	Maupassant_UneVie_93	Maupassant_UneVie_94	Maupassant_UneVie_95	Maupassant_UneVie_sum
,_PUN_,	96.0	76.0	70.0	78.0	79.0	89.0	85.0	76.0	81.0	87.0	73.0	80.0	73.0	78.0	96.0	75.0	78.0	83.0	59.0	63.0	61.0	80.0	79.0	95.0	72.0	93.0	90.0	85.0	71.0	89.0	76.0	78.0	90.0	77.0	85.0	89.0	73.0	78.0	78.0	81.0	83.0	78.0	81.0	72.0	83.0	93.0	85.0	91.0	93.0	84.0	71.0	73.0	77.0	87.0	90.0	81.0	81.0	92.0	78.0	82.0	62.0	64.0	53.0	58.0	54.0	64.0	65.0	89.0	64.0	75.0	84.0	70.0	55.0	80.0	91.0	69.0	55.0	62.0	69.0	54.0	81.0	81.0	68.0	90.0	83.0	75.0	78.0	57.0	76.0	62.0	75.0	75.0	80.0	72.0	68.0	44.0	7352.0
<eos>_<EOS>_<EOS>	40.0	37.0	44.0	44.0	38.0	44.0	35.0	22.0	31.0	39.0	41.0	33.0	38.0	41.0	33.0	43.0	31.0	40.0	42.0	52.0	50.0	33.0	53.0	39.0	45.0	40.0	41.0	44.0	49.0	32.0	45.0	33.0	36.0	51.0	39.0	35.0	40.0	43.0	42.0	35.0	42.0	60.0	52.0	54.0	49.0	40.0	46.0	33.0	31.0	47.0	46.0	43.0	38.0	38.0	33.0	38.0	38.0	49.0	46.0	44.0	47.0	52.0	47.0	50.0	59.0	50.0	35.0	39.0	54.0	39.0	40.0	44.0	39.0	35.0	34.0	49.0	39.0	56.0	52.0	50.0	57.0	59.0	48.0	29.0	40.0	36.0	39.0	57.0	45.0	51.0	46.0	31.0	31.0	38.0	48.0	29.0	4054.0
._SENT_.	37.0	36.0	39.0	44.0	34.0	40.0	35.0	22.0	29.0	41.0	38.0	30.0	30.0	34.0	29.0	38.0	31.0	35.0	38.0	46.0	41.0	25.0	35.0	37.0	35.0	35.0	39.0	40.0	47.0	28.0	39.0	27.0	31.0	49.0	31.0	31.0	35.0	25.0	35.0	31.0	33.0	46.0	42.0	40.0	30.0	35.0	44.0	31.0	26.0	31.0	36.0	40.0	36.0	37.0	32.0	35.0	31.0	44.0	43.0	34.0	34.0	36.0	42.0	46.0	44.0	47.0	34.0	34.0	35.0	36.0	34.0	41.0	37.0	34.0	31.0	43.0	38.0	48.0	47.0	48.0	35.0	43.0	38.0	26.0	39.0	34.0	33.0	55.0	43.0	46.0	46.0	26.0	27.0	32.0	47.0	28.0	3515.0
de_PRP_de	35.0	34.0	28.0	43.0	29.0	32.0	33.0	35.0	37.0	48.0	31.0	25.0	23.0	28.0	31.0	24.0	32.0	23.0	22.0	32.0	23.0	34.0	21.0	33.0	24.0	37.0	23.0	25.0	28.0	37.0	30.0	36.0	23.0	26.0	41.0	35.0	37.0	17.0	19.0	22.0	35.0	17.0	20.0	23.0	14.0	21.0	34.0	30.0	31.0	32.0	11.0	32.0	29.0	38.0	35.0	38.0	26.0	19.0	17.0	35.0	36.0	25.0	31.0	24.0	29.0	28.0	22.0	30.0	23.0	26.0	26.0	22.0	32.0	25.0	34.0	22.0	24.0	27.0	28.0	33.0	18.0	23.0	27.0	43.0	31.0	35.0	31.0	23.0	36.0	14.0	22.0	28.0	32.0	24.0	26.0	11.0	2704.0
et_KON_et	17.0	22.0	32.0	30.0	20.0	17.0	23.0	27.0	21.0	27.0	27.0	24.0	27.0	22.0	18.0	21.0	20.0	22.0	21.0	22.0	20.0	30.0	15.0	20.0	17.0	23.0	29.0	22.0	14.0	25.0	29.0	25.0	24.0	28.0	27.0	25.0	26.0	26.0	22.0	24.0	23.0	29.0	15.0	11.0	13.0	19.0	25.0	20.0	28.0	9.0	17.0	24.0	34.0	16.0	25.0	29.0	21.0	26.0	18.0	21.0	27.0	24.0	26.0	16.0	21.0	24.0	34.0	28.0	21.0	22.0	21.0	28.0	28.0	22.0	21.0	21.0	22.0	14.0	23.0	19.0	18.0	15.0	13.0	20.0	22.0	18.0	21.0	21.0	21.0	18.0	28.0	24.0	27.0	21.0	15.0	8.0	2126.0
la_DET:ART_le	31.0	29.0	21.0	22.0	28.0	22.0	22.0	23.0	19.0	20.0	27.0	26.0	18.0	24.0	20.0	21.0	20.0	31.0	22.0	18.0	13.0	14.0	18.0	17.0	10.0	18.0	15.0	10.0	19.0	27.0	22.0	21.0	22.0	22.0	25.0	26.0	23.0	10.0	18.0	13.0	28.0	16.0	18.0	16.0	12.0	16.0	24.0	22.0	13.0	16.0	10.0	25.0	20.0	21.0	19.0	15.0	17.0	19.0	21.0	27.0	18.0	29.0	21.0	7.0	11.0	17.0	19.0	21.0	16.0	15.0	26.0	13.0	13.0	12.0	27.0	15.0	20.0	17.0	13.0	14.0	22.0	8.0	10.0	17.0	27.0	28.0	24.0	12.0	16.0	10.0	18.0	13.0	15.0	23.0	25.0	18.0	1832.0
elle_PRO:PER_elle	19.0	20.0	6.0	11.0	18.0	17.0	20.0	28.0	5.0	2.0	2.0	5.0	6.0	29.0	5.0	16.0	28.0	13.0	22.0	6.0	23.0	28.0	20.0	10.0	11.0	7.0	14.0	15.0	19.0	15.0	14.0	11.0	6.0	0.0	0.0	6.0	25.0	15.0	12.0	21.0	43.0	44.0	19.0	8.0	5.0	12.0	7.0	17.0	39.0	6.0	1.0	7.0	8.0	4.0	21.0	33.0	21.0	30.0	17.0	30.0	28.0	25.0	28.0	18.0	23.0	11.0	11.0	7.0	2.0	11.0	7.0	11.0	15.0	13.0	11.0	5.0	20.0	8.0	15.0	8.0	20.0	12.0	14.0	30.0	21.0	22.0	19.0	14.0	25.0	48.0	38.0	34.0	40.0	35.0	30.0	12.0	1613.0
le_DET:ART_le	11.0	14.0	18.0	16.0	8.0	22.0	15.0	14.0	30.0	27.0	20.0	24.0	10.0	20.0	22.0	19.0	7.0	20.0	22.0	18.0	13.0	8.0	12.0	23.0	10.0	16.0	15.0	13.0	10.0	18.0	17.0	10.0	22.0	19.0	18.0	25.0	12.0	13.0	6.0	10.0	14.0	7.0	14.0	18.0	23.0	9.0	12.0	22.0	14.0	15.0	20.0	22.0	20.0	15.0	12.0	10.0	12.0	18.0	18.0	9.0	14.0	16.0	16.0	8.0	13.0	11.0	11.0	11.0	14.0	26.0	17.0	10.0	16.0	17.0	12.0	16.0	30.0	19.0	6.0	18.0	6.0	4.0	12.0	13.0	12.0	14.0	11.0	9.0	13.0	8.0	13.0	11.0	7.0	14.0	14.0	5.0	1418.0
à_PRP_à	16.0	12.0	12.0	14.0	17.0	10.0	21.0	19.0	15.0	8.0	16.0	18.0	16.0	11.0	20.0	12.0	13.0	21.0	23.0	14.0	10.0	16.0	14.0	14.0	18.0	10.0	23.0	8.0	18.0	12.0	13.0	15.0	17.0	13.0	11.0	10.0	13.0	12.0	18.0	9.0	17.0	7.0	6.0	13.0	7.0	9.0	10.0	9.0	5.0	24.0	6.0	22.0	16.0	10.0	14.0	17.0	9.0	11.0	19.0	11.0	23.0	15.0	13.0	13.0	14.0	11.0	13.0	15.0	15.0	11.0	19.0	12.0	14.0	12.0	13.0	17.0	11.0	13.0	13.0	12.0	9.0	12.0	11.0	20.0	12.0	13.0	13.0	13.0	17.0	18.0	17.0	12.0	20.0	19.0	13.0	5.0	1327.0
les_DET:ART_le	14.0	22.0	14.0	15.0	9.0	21.0	21.0	16.0	7.0	12.0	11.0	14.0	17.0	7.0	13.0	19.0	5.0	14.0	17.0	19.0	10.0	6.0	10.0	15.0	15.0	10.0	17.0	7.0	8.0	21.0	20.0	20.0	17.0	23.0	13.0	19.0	16.0	3.0	7.0	12.0	6.0	8.0	1.0	2.0	8.0	6.0	11.0	15.0	8.0	3.0	5.0	13.0	13.0	15.0	5.0	21.0	13.0	12.0	8.0	16.0	10.0	5.0	8.0	4.0	8.0	9.0	20.0	15.0	8.0	10.0	16.0	16.0	14.0	19.0	15.0	7.0	9.0	5.0	14.0	9.0	8.0	6.0	10.0	16.0	12.0	14.0	15.0	11.0	13.0	7.0	11.0	14.0	19.0	17.0	7.0	3.0	1149.0
