	Stolz_MaisonRoulante_0	Stolz_MaisonRoulante_1	Stolz_MaisonRoulante_2	Stolz_MaisonRoulante_3	Stolz_MaisonRoulante_4	Stolz_MaisonRoulante_5	Stolz_MaisonRoulante_6	Stolz_MaisonRoulante_7	Stolz_MaisonRoulante_8	Stolz_MaisonRoulante_9	Stolz_MaisonRoulante_10	Stolz_MaisonRoulante_11	Stolz_MaisonRoulante_12	Stolz_MaisonRoulante_13	Stolz_MaisonRoulante_14	Stolz_MaisonRoulante_15	Stolz_MaisonRoulante_16	Stolz_MaisonRoulante_17	Stolz_MaisonRoulante_18	Stolz_MaisonRoulante_19	Stolz_MaisonRoulante_20	Stolz_MaisonRoulante_21	Stolz_MaisonRoulante_22	Stolz_MaisonRoulante_23	Stolz_MaisonRoulante_24	Stolz_MaisonRoulante_25	Stolz_MaisonRoulante_26	Stolz_MaisonRoulante_27	Stolz_MaisonRoulante_28	Stolz_MaisonRoulante_29	Stolz_MaisonRoulante_30	Stolz_MaisonRoulante_31	Stolz_MaisonRoulante_32	Stolz_MaisonRoulante_33	Stolz_MaisonRoulante_34	Stolz_MaisonRoulante_35	Stolz_MaisonRoulante_36	Stolz_MaisonRoulante_37	Stolz_MaisonRoulante_38	Stolz_MaisonRoulante_39	Stolz_MaisonRoulante_40	Stolz_MaisonRoulante_41	Stolz_MaisonRoulante_42	Stolz_MaisonRoulante_43	Stolz_MaisonRoulante_44	Stolz_MaisonRoulante_45	Stolz_MaisonRoulante_46	Stolz_MaisonRoulante_47	Stolz_MaisonRoulante_48	Stolz_MaisonRoulante_49	Stolz_MaisonRoulante_50	Stolz_MaisonRoulante_51	Stolz_MaisonRoulante_52	Stolz_MaisonRoulante_53	Stolz_MaisonRoulante_54	Stolz_MaisonRoulante_55	Stolz_MaisonRoulante_56	Stolz_MaisonRoulante_57	Stolz_MaisonRoulante_58	Stolz_MaisonRoulante_59	Stolz_MaisonRoulante_60	Stolz_MaisonRoulante_61	Stolz_MaisonRoulante_62	Stolz_MaisonRoulante_63	Stolz_MaisonRoulante_sum
,_PUN_,	92.0	61.0	97.0	74.0	68.0	78.0	66.0	71.0	78.0	102.0	74.0	93.0	74.0	75.0	66.0	76.0	61.0	70.0	75.0	70.0	87.0	73.0	61.0	63.0	80.0	75.0	67.0	73.0	69.0	68.0	71.0	57.0	93.0	80.0	81.0	61.0	85.0	74.0	78.0	76.0	84.0	76.0	68.0	64.0	71.0	64.0	74.0	64.0	70.0	73.0	63.0	74.0	65.0	75.0	54.0	63.0	79.0	72.0	89.0	82.0	61.0	86.0	77.0	22.0	4663.0
<eos>_<EOS>_<EOS>	28.0	34.0	36.0	31.0	37.0	29.0	30.0	38.0	34.0	62.0	54.0	29.0	28.0	41.0	43.0	35.0	39.0	33.0	35.0	56.0	40.0	26.0	60.0	72.0	41.0	33.0	38.0	34.0	32.0	37.0	58.0	61.0	41.0	37.0	28.0	33.0	37.0	58.0	51.0	31.0	39.0	28.0	35.0	47.0	39.0	49.0	62.0	50.0	47.0	36.0	47.0	43.0	41.0	36.0	51.0	41.0	39.0	41.0	43.0	38.0	47.0	40.0	39.0	13.0	2591.0
de_PRP_de	35.0	25.0	28.0	41.0	47.0	35.0	42.0	29.0	18.0	5.0	25.0	35.0	36.0	35.0	42.0	29.0	27.0	35.0	26.0	20.0	28.0	28.0	23.0	18.0	27.0	26.0	24.0	51.0	37.0	41.0	33.0	24.0	29.0	39.0	41.0	31.0	29.0	22.0	24.0	34.0	21.0	49.0	32.0	26.0	30.0	28.0	22.0	41.0	38.0	31.0	30.0	36.0	31.0	36.0	27.0	24.0	37.0	42.0	28.0	31.0	30.0	39.0	37.0	16.0	1986.0
._SENT_.	28.0	26.0	19.0	29.0	31.0	27.0	27.0	27.0	31.0	25.0	26.0	19.0	23.0	30.0	23.0	28.0	28.0	23.0	31.0	22.0	19.0	20.0	39.0	45.0	22.0	34.0	20.0	27.0	24.0	30.0	25.0	36.0	25.0	33.0	21.0	31.0	26.0	29.0	28.0	31.0	31.0	27.0	31.0	36.0	26.0	33.0	32.0	36.0	29.0	26.0	35.0	31.0	31.0	32.0	33.0	29.0	32.0	29.0	33.0	28.0	38.0	32.0	24.0	11.0	1813.0
et_KON_et	26.0	19.0	21.0	22.0	26.0	25.0	25.0	23.0	17.0	17.0	23.0	31.0	26.0	23.0	19.0	23.0	24.0	25.0	27.0	15.0	21.0	23.0	14.0	15.0	18.0	16.0	22.0	24.0	19.0	24.0	13.0	15.0	25.0	19.0	16.0	26.0	18.0	11.0	17.0	22.0	23.0	24.0	25.0	29.0	16.0	10.0	15.0	16.0	17.0	19.0	22.0	24.0	24.0	29.0	20.0	22.0	23.0	24.0	19.0	34.0	16.0	20.0	25.0	7.0	1338.0
la_DET:ART_le	24.0	16.0	13.0	17.0	22.0	22.0	34.0	17.0	22.0	9.0	19.0	20.0	21.0	19.0	22.0	13.0	22.0	19.0	31.0	18.0	17.0	15.0	19.0	22.0	14.0	13.0	13.0	20.0	16.0	20.0	19.0	10.0	29.0	21.0	16.0	32.0	29.0	20.0	28.0	17.0	13.0	21.0	19.0	12.0	21.0	16.0	9.0	15.0	17.0	19.0	15.0	31.0	24.0	22.0	17.0	26.0	12.0	21.0	23.0	18.0	17.0	19.0	22.0	3.0	1222.0
il_PRO:PER_il	6.0	14.0	7.0	18.0	13.0	10.0	8.0	25.0	13.0	12.0	15.0	22.0	18.0	25.0	16.0	23.0	19.0	27.0	19.0	33.0	26.0	27.0	12.0	19.0	16.0	22.0	31.0	19.0	26.0	29.0	16.0	21.0	14.0	11.0	16.0	12.0	10.0	11.0	4.0	17.0	15.0	11.0	10.0	11.0	15.0	12.0	14.0	12.0	13.0	18.0	16.0	8.0	26.0	20.0	12.0	7.0	12.0	11.0	9.0	10.0	16.0	7.0	10.0	7.0	1004.0
à_PRP_à	13.0	23.0	15.0	14.0	12.0	16.0	19.0	17.0	13.0	9.0	15.0	10.0	9.0	20.0	12.0	8.0	9.0	20.0	12.0	14.0	14.0	13.0	20.0	12.0	22.0	17.0	13.0	13.0	13.0	14.0	10.0	17.0	15.0	10.0	19.0	17.0	13.0	16.0	16.0	11.0	13.0	16.0	20.0	17.0	13.0	15.0	12.0	13.0	9.0	13.0	17.0	17.0	11.0	19.0	13.0	20.0	23.0	11.0	9.0	15.0	16.0	13.0	24.0	4.0	928.0
le_DET:ART_le	10.0	10.0	21.0	18.0	17.0	6.0	19.0	11.0	16.0	7.0	21.0	11.0	14.0	5.0	14.0	12.0	14.0	19.0	14.0	7.0	19.0	9.0	17.0	21.0	8.0	16.0	18.0	15.0	13.0	22.0	8.0	12.0	10.0	12.0	16.0	12.0	11.0	16.0	10.0	12.0	19.0	15.0	12.0	22.0	10.0	4.0	7.0	9.0	12.0	18.0	15.0	18.0	13.0	10.0	11.0	12.0	9.0	14.0	19.0	19.0	14.0	13.0	12.0	3.0	853.0
l'_DET:ART_le	11.0	12.0	6.0	5.0	13.0	10.0	21.0	5.0	9.0	4.0	10.0	16.0	10.0	9.0	17.0	14.0	9.0	6.0	12.0	16.0	13.0	15.0	1.0	9.0	8.0	12.0	16.0	9.0	12.0	9.0	14.0	8.0	7.0	14.0	14.0	11.0	7.0	5.0	5.0	10.0	10.0	11.0	14.0	9.0	8.0	4.0	5.0	8.0	9.0	8.0	13.0	13.0	10.0	11.0	8.0	7.0	7.0	10.0	17.0	15.0	11.0	10.0	11.0	3.0	646.0
un_DET:ART_un	8.0	15.0	8.0	14.0	7.0	6.0	9.0	9.0	8.0	7.0	7.0	14.0	13.0	14.0	11.0	11.0	9.0	7.0	8.0	7.0	14.0	12.0	14.0	12.0	12.0	16.0	7.0	8.0	15.0	6.0	5.0	3.0	8.0	9.0	7.0	8.0	17.0	6.0	7.0	10.0	10.0	11.0	14.0	11.0	16.0	15.0	11.0	11.0	17.0	19.0	21.0	9.0	9.0	7.0	9.0	10.0	6.0	5.0	4.0	4.0	11.0	11.0	8.0	4.0	641.0
!_SENT_!	2.0	3.0	12.0	3.0	8.0	1.0	7.0	16.0	5.0	20.0	15.0	6.0	5.0	9.0	12.0	3.0	6.0	4.0	3.0	11.0	11.0	4.0	8.0	15.0	13.0	3.0	9.0	3.0	8.0	5.0	24.0	14.0	12.0	7.0	5.0	4.0	12.0	24.0	18.0	1.0	5.0	1.0	4.0	11.0	11.0	8.0	24.0	13.0	20.0	14.0	15.0	11.0	11.0	6.0	15.0	11.0	7.0	8.0	4.0	11.0	9.0	10.0	12.0	2.0	594.0
