	Verne_ArchipelFeu_0	Verne_ArchipelFeu_1	Verne_ArchipelFeu_2	Verne_ArchipelFeu_3	Verne_ArchipelFeu_4	Verne_ArchipelFeu_5	Verne_ArchipelFeu_6	Verne_ArchipelFeu_7	Verne_ArchipelFeu_8	Verne_ArchipelFeu_9	Verne_ArchipelFeu_10	Verne_ArchipelFeu_11	Verne_ArchipelFeu_12	Verne_ArchipelFeu_13	Verne_ArchipelFeu_14	Verne_ArchipelFeu_15	Verne_ArchipelFeu_16	Verne_ArchipelFeu_17	Verne_ArchipelFeu_18	Verne_ArchipelFeu_19	Verne_ArchipelFeu_20	Verne_ArchipelFeu_21	Verne_ArchipelFeu_22	Verne_ArchipelFeu_23	Verne_ArchipelFeu_24	Verne_ArchipelFeu_25	Verne_ArchipelFeu_26	Verne_ArchipelFeu_27	Verne_ArchipelFeu_28	Verne_ArchipelFeu_29	Verne_ArchipelFeu_30	Verne_ArchipelFeu_31	Verne_ArchipelFeu_32	Verne_ArchipelFeu_33	Verne_ArchipelFeu_34	Verne_ArchipelFeu_35	Verne_ArchipelFeu_36	Verne_ArchipelFeu_37	Verne_ArchipelFeu_38	Verne_ArchipelFeu_39	Verne_ArchipelFeu_40	Verne_ArchipelFeu_41	Verne_ArchipelFeu_42	Verne_ArchipelFeu_43	Verne_ArchipelFeu_44	Verne_ArchipelFeu_45	Verne_ArchipelFeu_46	Verne_ArchipelFeu_47	Verne_ArchipelFeu_48	Verne_ArchipelFeu_49	Verne_ArchipelFeu_50	Verne_ArchipelFeu_51	Verne_ArchipelFeu_52	Verne_ArchipelFeu_53	Verne_ArchipelFeu_54	Verne_ArchipelFeu_55	Verne_ArchipelFeu_56	Verne_ArchipelFeu_57	Verne_ArchipelFeu_58	Verne_ArchipelFeu_59	Verne_ArchipelFeu_60	Verne_ArchipelFeu_61	Verne_ArchipelFeu_62	Verne_ArchipelFeu_63	Verne_ArchipelFeu_64	Verne_ArchipelFeu_65	Verne_ArchipelFeu_66	Verne_ArchipelFeu_67	Verne_ArchipelFeu_68	Verne_ArchipelFeu_69	Verne_ArchipelFeu_70	Verne_ArchipelFeu_71	Verne_ArchipelFeu_72	Verne_ArchipelFeu_73	Verne_ArchipelFeu_74	Verne_ArchipelFeu_75	Verne_ArchipelFeu_76	Verne_ArchipelFeu_77	Verne_ArchipelFeu_sum
,_PUN_,	83.0	80.0	63.0	58.0	74.0	90.0	84.0	83.0	77.0	97.0	113.0	97.0	88.0	84.0	83.0	81.0	66.0	65.0	68.0	48.0	75.0	80.0	78.0	81.0	76.0	91.0	77.0	77.0	78.0	70.0	69.0	81.0	79.0	60.0	63.0	82.0	67.0	81.0	62.0	94.0	89.0	83.0	70.0	57.0	91.0	82.0	83.0	78.0	58.0	73.0	77.0	72.0	91.0	81.0	99.0	74.0	79.0	67.0	79.0	79.0	68.0	58.0	63.0	74.0	69.0	83.0	93.0	64.0	71.0	60.0	74.0	68.0	70.0	77.0	54.0	57.0	71.0	2.0	5841.0
<eos>_<EOS>_<EOS>	30.0	40.0	53.0	48.0	41.0	42.0	39.0	42.0	47.0	34.0	35.0	31.0	29.0	32.0	44.0	37.0	48.0	53.0	62.0	49.0	44.0	43.0	38.0	56.0	52.0	37.0	32.0	40.0	56.0	49.0	57.0	63.0	39.0	70.0	60.0	55.0	52.0	49.0	72.0	40.0	40.0	45.0	48.0	58.0	39.0	39.0	42.0	42.0	49.0	48.0	36.0	43.0	33.0	40.0	34.0	35.0	49.0	49.0	39.0	36.0	42.0	55.0	58.0	52.0	47.0	30.0	33.0	63.0	47.0	47.0	44.0	47.0	60.0	37.0	58.0	82.0	50.0	1.0	3537.0
de_PRP_de	55.0	49.0	48.0	41.0	31.0	50.0	42.0	49.0	34.0	36.0	43.0	41.0	48.0	44.0	35.0	43.0	32.0	33.0	22.0	34.0	40.0	50.0	46.0	42.0	39.0	59.0	36.0	41.0	36.0	47.0	31.0	26.0	32.0	18.0	20.0	21.0	36.0	21.0	27.0	35.0	54.0	36.0	29.0	38.0	42.0	39.0	46.0	53.0	42.0	29.0	49.0	44.0	54.0	44.0	50.0	59.0	40.0	47.0	51.0	38.0	38.0	39.0	35.0	36.0	43.0	44.0	45.0	29.0	45.0	38.0	40.0	58.0	34.0	40.0	41.0	35.0	47.0	2.0	3086.0
._SENT_.	27.0	33.0	34.0	41.0	37.0	40.0	37.0	40.0	37.0	31.0	34.0	33.0	21.0	30.0	43.0	31.0	39.0	32.0	43.0	45.0	20.0	37.0	28.0	24.0	32.0	32.0	32.0	25.0	19.0	40.0	38.0	18.0	28.0	31.0	33.0	25.0	36.0	16.0	30.0	34.0	31.0	34.0	21.0	31.0	36.0	29.0	27.0	35.0	33.0	43.0	31.0	29.0	32.0	34.0	31.0	33.0	36.0	38.0	35.0	32.0	26.0	44.0	44.0	35.0	28.0	29.0	29.0	42.0	42.0	42.0	40.0	42.0	41.0	31.0	34.0	39.0	38.0	0.0	2563.0
la_DET:ART_le	23.0	14.0	15.0	19.0	20.0	15.0	15.0	21.0	25.0	29.0	14.0	28.0	20.0	25.0	14.0	21.0	25.0	17.0	28.0	26.0	38.0	38.0	28.0	19.0	26.0	41.0	35.0	18.0	10.0	33.0	16.0	20.0	27.0	17.0	20.0	21.0	21.0	13.0	19.0	29.0	22.0	18.0	10.0	18.0	28.0	29.0	24.0	26.0	34.0	29.0	37.0	32.0	30.0	28.0	30.0	37.0	30.0	36.0	23.0	17.0	16.0	14.0	17.0	24.0	30.0	30.0	33.0	24.0	33.0	23.0	31.0	26.0	28.0	35.0	30.0	23.0	29.0	0.0	1887.0
à_PRP_à	14.0	22.0	21.0	20.0	22.0	15.0	19.0	17.0	21.0	13.0	22.0	21.0	18.0	18.0	16.0	14.0	14.0	18.0	15.0	18.0	23.0	20.0	15.0	13.0	15.0	15.0	24.0	17.0	12.0	20.0	13.0	18.0	12.0	20.0	20.0	24.0	18.0	17.0	14.0	21.0	19.0	23.0	16.0	11.0	14.0	24.0	17.0	20.0	27.0	24.0	27.0	26.0	19.0	19.0	22.0	20.0	20.0	19.0	18.0	20.0	19.0	19.0	15.0	15.0	10.0	36.0	38.0	14.0	23.0	43.0	17.0	26.0	21.0	21.0	15.0	19.0	11.0	0.0	1476.0
le_DET:ART_le	24.0	17.0	16.0	14.0	14.0	18.0	20.0	12.0	15.0	14.0	20.0	23.0	13.0	16.0	7.0	13.0	6.0	7.0	15.0	14.0	17.0	15.0	27.0	6.0	14.0	13.0	27.0	17.0	19.0	18.0	18.0	22.0	13.0	10.0	14.0	11.0	15.0	11.0	8.0	15.0	13.0	18.0	11.0	14.0	17.0	26.0	16.0	18.0	21.0	20.0	13.0	17.0	16.0	20.0	18.0	25.0	22.0	21.0	23.0	15.0	9.0	18.0	12.0	12.0	14.0	9.0	11.0	11.0	16.0	17.0	17.0	10.0	19.0	18.0	17.0	10.0	22.0	1.0	1215.0
d'_PRP_de	16.0	6.0	12.0	11.0	17.0	5.0	7.0	14.0	12.0	8.0	11.0	12.0	10.0	20.0	20.0	15.0	25.0	15.0	23.0	18.0	7.0	14.0	17.0	5.0	12.0	11.0	16.0	13.0	11.0	8.0	13.0	11.0	18.0	19.0	19.0	13.0	13.0	10.0	10.0	6.0	12.0	13.0	19.0	21.0	19.0	13.0	21.0	19.0	10.0	14.0	13.0	16.0	16.0	18.0	11.0	20.0	9.0	13.0	9.0	21.0	13.0	20.0	18.0	16.0	15.0	13.0	14.0	19.0	16.0	18.0	15.0	11.0	16.0	19.0	17.0	15.0	18.0	1.0	1104.0
les_DET:ART_le	19.0	23.0	7.0	12.0	14.0	16.0	15.0	11.0	12.0	23.0	21.0	19.0	23.0	15.0	17.0	7.0	10.0	10.0	6.0	15.0	25.0	6.0	20.0	13.0	7.0	14.0	15.0	17.0	10.0	13.0	10.0	4.0	7.0	6.0	4.0	4.0	13.0	3.0	9.0	15.0	18.0	14.0	5.0	7.0	14.0	10.0	7.0	11.0	12.0	10.0	8.0	5.0	11.0	15.0	14.0	11.0	12.0	7.0	15.0	15.0	29.0	15.0	5.0	6.0	11.0	31.0	17.0	11.0	5.0	17.0	18.0	24.0	19.0	6.0	12.0	9.0	16.0	0.0	982.0
et_KON_et	14.0	11.0	9.0	10.0	12.0	12.0	9.0	12.0	5.0	11.0	18.0	16.0	19.0	10.0	15.0	12.0	12.0	9.0	11.0	11.0	20.0	8.0	20.0	14.0	13.0	15.0	20.0	16.0	16.0	7.0	10.0	15.0	12.0	12.0	6.0	11.0	16.0	15.0	10.0	13.0	8.0	14.0	17.0	13.0	12.0	13.0	16.0	13.0	15.0	13.0	12.0	10.0	10.0	14.0	9.0	16.0	10.0	14.0	10.0	7.0	13.0	9.0	7.0	9.0	14.0	10.0	9.0	12.0	8.0	17.0	18.0	17.0	8.0	13.0	12.0	12.0	14.0	1.0	956.0
