	Aimard_BanditsArizona_0	Aimard_BanditsArizona_1	Aimard_BanditsArizona_2	Aimard_BanditsArizona_3	Aimard_BanditsArizona_4	Aimard_BanditsArizona_5	Aimard_BanditsArizona_6	Aimard_BanditsArizona_7	Aimard_BanditsArizona_8	Aimard_BanditsArizona_9	Aimard_BanditsArizona_10	Aimard_BanditsArizona_11	Aimard_BanditsArizona_12	Aimard_BanditsArizona_13	Aimard_BanditsArizona_14	Aimard_BanditsArizona_15	Aimard_BanditsArizona_16	Aimard_BanditsArizona_17	Aimard_BanditsArizona_sum
,_PUN_,	325.0	354.0	358.0	327.0	312.0	300.0	258.0	320.0	367.0	349.0	286.0	282.0	316.0	370.0	379.0	313.0	370.0	182.0	5768.0
<EOS>_<EOS>_<EOS>	144.0	182.0	182.0	218.0	217.0	239.0	287.0	250.0	209.0	177.0	239.0	255.0	147.0	230.0	174.0	231.0	198.0	149.0	3728.0
._SENT_.	110.0	151.0	137.0	157.0	161.0	177.0	184.0	147.0	158.0	133.0	169.0	183.0	128.0	169.0	139.0	177.0	159.0	92.0	2731.0
de_PRP_de	153.0	154.0	140.0	128.0	131.0	134.0	92.0	99.0	121.0	154.0	132.0	109.0	212.0	115.0	116.0	112.0	154.0	71.0	2327.0
--_PUN_--	58.0	96.0	127.0	137.0	125.0	123.0	201.0	158.0	134.0	73.0	117.0	132.0	42.0	138.0	84.0	118.0	73.0	62.0	1998.0
et_KON_et	111.0	99.0	97.0	89.0	96.0	77.0	58.0	83.0	69.0	88.0	74.0	80.0	111.0	72.0	104.0	83.0	96.0	37.0	1524.0
le_DET:ART_le	89.0	101.0	72.0	67.0	79.0	89.0	59.0	82.0	86.0	81.0	85.0	78.0	71.0	56.0	74.0	96.0	87.0	37.0	1389.0
à_PRP_à	83.0	77.0	78.0	72.0	68.0	73.0	52.0	57.0	72.0	97.0	82.0	63.0	77.0	60.0	82.0	80.0	61.0	47.0	1281.0
les_DET:ART_le	63.0	59.0	55.0	50.0	71.0	49.0	36.0	69.0	39.0	43.0	95.0	56.0	72.0	53.0	81.0	87.0	62.0	22.0	1062.0
la_DET:ART_le	75.0	46.0	57.0	66.0	79.0	51.0	31.0	34.0	47.0	69.0	53.0	46.0	93.0	49.0	71.0	62.0	71.0	29.0	1029.0
;_PUN_;	74.0	74.0	75.0	52.0	53.0	52.0	61.0	61.0	73.0	73.0	42.0	48.0	58.0	52.0	70.0	42.0	42.0	26.0	1028.0
vous_PRO:PER_vous	46.0	37.0	57.0	57.0	52.0	22.0	117.0	39.0	83.0	44.0	45.0	51.0	10.0	68.0	54.0	49.0	56.0	44.0	931.0
un_DET:ART_un	66.0	47.0	49.0	62.0	45.0	64.0	59.0	58.0	50.0	32.0	39.0	46.0	44.0	46.0	51.0	51.0	47.0	21.0	877.0
il_PRO:PER_il	65.0	52.0	39.0	27.0	43.0	69.0	71.0	41.0	71.0	41.0	50.0	55.0	39.0	22.0	59.0	51.0	50.0	17.0	862.0
que_KON_que	25.0	42.0	41.0	43.0	30.0	41.0	44.0	47.0	54.0	75.0	41.0	42.0	35.0	40.0	45.0	53.0	46.0	27.0	771.0
