	Aimard_GrandChefAucas_0	Aimard_GrandChefAucas_1	Aimard_GrandChefAucas_2	Aimard_GrandChefAucas_3	Aimard_GrandChefAucas_4	Aimard_GrandChefAucas_5	Aimard_GrandChefAucas_6	Aimard_GrandChefAucas_7	Aimard_GrandChefAucas_8	Aimard_GrandChefAucas_9	Aimard_GrandChefAucas_10	Aimard_GrandChefAucas_11	Aimard_GrandChefAucas_12	Aimard_GrandChefAucas_13	Aimard_GrandChefAucas_14	Aimard_GrandChefAucas_15	Aimard_GrandChefAucas_16	Aimard_GrandChefAucas_17	Aimard_GrandChefAucas_18	Aimard_GrandChefAucas_19	Aimard_GrandChefAucas_20	Aimard_GrandChefAucas_21	Aimard_GrandChefAucas_22	Aimard_GrandChefAucas_23	Aimard_GrandChefAucas_24	Aimard_GrandChefAucas_25	Aimard_GrandChefAucas_26	Aimard_GrandChefAucas_27	Aimard_GrandChefAucas_28	Aimard_GrandChefAucas_29	Aimard_GrandChefAucas_30	Aimard_GrandChefAucas_31	Aimard_GrandChefAucas_32	Aimard_GrandChefAucas_33	Aimard_GrandChefAucas_34	Aimard_GrandChefAucas_35	Aimard_GrandChefAucas_36	Aimard_GrandChefAucas_37	Aimard_GrandChefAucas_38	Aimard_GrandChefAucas_39	Aimard_GrandChefAucas_40	Aimard_GrandChefAucas_41	Aimard_GrandChefAucas_42	Aimard_GrandChefAucas_43	Aimard_GrandChefAucas_44	Aimard_GrandChefAucas_45	Aimard_GrandChefAucas_46	Aimard_GrandChefAucas_47	Aimard_GrandChefAucas_48	Aimard_GrandChefAucas_49	Aimard_GrandChefAucas_sum
,_PUN_,	383.0	346.0	378.0	336.0	316.0	287.0	298.0	330.0	340.0	325.0	361.0	357.0	379.0	360.0	342.0	372.0	322.0	355.0	373.0	381.0	364.0	331.0	342.0	335.0	318.0	346.0	322.0	352.0	331.0	354.0	340.0	343.0	370.0	339.0	362.0	339.0	338.0	301.0	278.0	298.0	283.0	325.0	265.0	326.0	319.0	301.0	331.0	328.0	305.0	49.0	16476.0
<EOS>_<EOS>_<EOS>	177.0	298.0	160.0	268.0	302.0	320.0	286.0	231.0	220.0	190.0	204.0	172.0	182.0	183.0	231.0	193.0	273.0	216.0	173.0	264.0	231.0	213.0	282.0	247.0	249.0	224.0	178.0	198.0	224.0	210.0	217.0	219.0	253.0	243.0	200.0	234.0	256.0	306.0	224.0	173.0	250.0	227.0	224.0	301.0	168.0	195.0	179.0	198.0	214.0	50.0	11130.0
._SENT_.	151.0	144.0	130.0	151.0	142.0	194.0	183.0	136.0	149.0	153.0	151.0	143.0	136.0	140.0	168.0	143.0	173.0	142.0	112.0	151.0	156.0	148.0	173.0	164.0	169.0	144.0	139.0	165.0	164.0	152.0	173.0	182.0	180.0	164.0	163.0	160.0	175.0	151.0	173.0	146.0	174.0	170.0	170.0	128.0	128.0	152.0	141.0	153.0	140.0	23.0	7612.0
de_PRP_de	199.0	141.0	209.0	146.0	142.0	128.0	124.0	136.0	149.0	126.0	139.0	164.0	173.0	137.0	135.0	148.0	147.0	135.0	176.0	95.0	107.0	138.0	107.0	118.0	124.0	125.0	189.0	159.0	176.0	129.0	160.0	146.0	108.0	134.0	142.0	160.0	122.0	119.0	149.0	162.0	176.0	151.0	137.0	106.0	143.0	134.0	161.0	155.0	149.0	27.0	7062.0
--_PUN_--	23.0	112.0	22.0	80.0	93.0	114.0	119.0	100.0	99.0	112.0	103.0	43.0	71.0	82.0	102.0	81.0	126.0	89.0	42.0	149.0	138.0	100.0	146.0	99.0	99.0	95.0	68.0	61.0	66.0	113.0	77.0	64.0	128.0	103.0	95.0	58.0	138.0	125.0	46.0	39.0	49.0	105.0	68.0	99.0	38.0	62.0	38.0	78.0	76.0	11.0	4244.0
la_DET:ART_le	78.0	82.0	115.0	77.0	73.0	76.0	65.0	77.0	76.0	73.0	69.0	93.0	100.0	75.0	79.0	93.0	75.0	103.0	94.0	53.0	72.0	76.0	65.0	82.0	67.0	86.0	88.0	70.0	72.0	79.0	81.0	80.0	76.0	74.0	76.0	106.0	76.0	65.0	81.0	69.0	74.0	66.0	105.0	53.0	99.0	78.0	94.0	81.0	99.0	16.0	3932.0
à_PRP_à	101.0	69.0	84.0	76.0	77.0	72.0	90.0	80.0	80.0	89.0	64.0	99.0	72.0	84.0	77.0	96.0	82.0	68.0	96.0	58.0	62.0	72.0	77.0	73.0	70.0	72.0	90.0	81.0	92.0	79.0	87.0	86.0	68.0	65.0	77.0	89.0	66.0	64.0	82.0	90.0	83.0	75.0	81.0	73.0	78.0	91.0	93.0	88.0	88.0	11.0	3917.0
et_KON_et	93.0	64.0	117.0	76.0	60.0	56.0	58.0	68.0	81.0	70.0	79.0	72.0	79.0	80.0	71.0	89.0	75.0	73.0	88.0	49.0	65.0	73.0	46.0	68.0	64.0	79.0	90.0	90.0	70.0	73.0	71.0	80.0	62.0	73.0	78.0	74.0	68.0	44.0	80.0	86.0	85.0	62.0	74.0	49.0	90.0	73.0	89.0	77.0	65.0	9.0	3605.0
le_DET:ART_le	67.0	77.0	71.0	49.0	72.0	60.0	45.0	81.0	53.0	67.0	81.0	72.0	64.0	69.0	66.0	68.0	86.0	45.0	56.0	100.0	77.0	89.0	65.0	55.0	56.0	58.0	69.0	86.0	83.0	66.0	68.0	81.0	84.0	79.0	94.0	62.0	56.0	88.0	101.0	81.0	70.0	59.0	61.0	36.0	96.0	76.0	67.0	76.0	57.0	10.0	3455.0
les_DET:ART_le	72.0	33.0	85.0	43.0	57.0	49.0	58.0	47.0	79.0	62.0	55.0	68.0	87.0	67.0	55.0	64.0	60.0	53.0	64.0	53.0	66.0	92.0	34.0	54.0	54.0	46.0	73.0	59.0	65.0	52.0	72.0	52.0	39.0	49.0	46.0	53.0	42.0	31.0	76.0	67.0	84.0	80.0	57.0	33.0	66.0	67.0	73.0	57.0	50.0	8.0	2908.0
