	Aimard_TrappeursArkansas_0	Aimard_TrappeursArkansas_1	Aimard_TrappeursArkansas_2	Aimard_TrappeursArkansas_3	Aimard_TrappeursArkansas_4	Aimard_TrappeursArkansas_5	Aimard_TrappeursArkansas_6	Aimard_TrappeursArkansas_7	Aimard_TrappeursArkansas_8	Aimard_TrappeursArkansas_9	Aimard_TrappeursArkansas_10	Aimard_TrappeursArkansas_11	Aimard_TrappeursArkansas_12	Aimard_TrappeursArkansas_13	Aimard_TrappeursArkansas_14	Aimard_TrappeursArkansas_15	Aimard_TrappeursArkansas_16	Aimard_TrappeursArkansas_17	Aimard_TrappeursArkansas_18	Aimard_TrappeursArkansas_19	Aimard_TrappeursArkansas_20	Aimard_TrappeursArkansas_21	Aimard_TrappeursArkansas_sum
,_PUN_,	327.0	324.0	307.0	321.0	345.0	310.0	259.0	337.0	355.0	393.0	316.0	339.0	326.0	324.0	333.0	368.0	416.0	401.0	355.0	327.0	371.0	202.0	7356.0
<EOS>_<EOS>_<EOS>	157.0	197.0	194.0	169.0	219.0	215.0	282.0	278.0	220.0	197.0	269.0	224.0	217.0	202.0	246.0	178.0	177.0	182.0	236.0	223.0	206.0	114.0	4602.0
._SENT_.	116.0	138.0	147.0	146.0	172.0	171.0	193.0	196.0	158.0	159.0	187.0	142.0	141.0	148.0	132.0	154.0	129.0	113.0	167.0	167.0	138.0	86.0	3300.0
de_PRP_de	206.0	156.0	186.0	164.0	154.0	158.0	130.0	99.0	156.0	182.0	118.0	118.0	146.0	136.0	112.0	181.0	137.0	164.0	136.0	138.0	142.0	75.0	3194.0
le_DET:ART_le	100.0	77.0	68.0	72.0	78.0	103.0	92.0	93.0	70.0	71.0	96.0	96.0	65.0	110.0	97.0	82.0	81.0	55.0	98.0	109.0	87.0	34.0	1834.0
la_DET:ART_le	99.0	87.0	82.0	104.0	84.0	73.0	72.0	57.0	76.0	94.0	78.0	91.0	98.0	75.0	60.0	81.0	93.0	84.0	69.0	92.0	67.0	43.0	1759.0
--_PUN_--	56.0	52.0	50.0	51.0	80.0	75.0	77.0	172.0	84.0	87.0	140.0	113.0	75.0	71.0	117.0	36.0	66.0	65.0	79.0	69.0	85.0	41.0	1741.0
et_KON_et	118.0	77.0	96.0	100.0	84.0	80.0	79.0	66.0	80.0	81.0	73.0	67.0	75.0	82.0	58.0	88.0	87.0	68.0	46.0	89.0	76.0	34.0	1704.0
à_PRP_à	80.0	115.0	87.0	90.0	69.0	71.0	64.0	45.0	84.0	74.0	65.0	67.0	71.0	86.0	113.0	91.0	85.0	78.0	78.0	66.0	57.0	41.0	1677.0
les_DET:ART_le	81.0	67.0	66.0	67.0	77.0	113.0	80.0	55.0	63.0	56.0	56.0	61.0	73.0	83.0	45.0	88.0	55.0	47.0	64.0	63.0	43.0	21.0	1424.0
un_DET:ART_un	72.0	62.0	50.0	66.0	55.0	55.0	65.0	44.0	55.0	65.0	36.0	54.0	55.0	50.0	48.0	47.0	52.0	41.0	52.0	54.0	61.0	30.0	1169.0
il_PRO:PER_il	35.0	48.0	49.0	42.0	41.0	26.0	45.0	41.0	33.0	52.0	45.0	41.0	44.0	71.0	73.0	54.0	46.0	64.0	70.0	55.0	39.0	16.0	1030.0
l'_DET:ART_le	70.0	60.0	55.0	51.0	39.0	59.0	39.0	34.0	46.0	66.0	44.0	39.0	30.0	37.0	31.0	50.0	35.0	40.0	42.0	34.0	39.0	31.0	971.0
d'_PRP_de	70.0	57.0	53.0	48.0	50.0	44.0	50.0	28.0	38.0	44.0	32.0	36.0	47.0	51.0	39.0	46.0	37.0	33.0	39.0	42.0	55.0	25.0	964.0
une_DET:ART_un	55.0	58.0	50.0	42.0	43.0	41.0	39.0	41.0	34.0	29.0	34.0	35.0	48.0	34.0	34.0	46.0	34.0	38.0	42.0	41.0	40.0	26.0	884.0
en_PRP_en	45.0	48.0	42.0	47.0	45.0	29.0	40.0	39.0	50.0	36.0	25.0	43.0	36.0	41.0	46.0	36.0	48.0	34.0	34.0	50.0	45.0	24.0	883.0
vous_PRO:PER_vous	4.0	38.0	23.0	27.0	26.0	28.0	9.0	58.0	38.0	74.0	27.0	50.0	12.0	28.0	53.0	20.0	65.0	72.0	47.0	52.0	41.0	45.0	837.0
qui_PRO:REL_qui	44.0	33.0	48.0	39.0	30.0	41.0	33.0	39.0	33.0	30.0	25.0	33.0	36.0	40.0	39.0	43.0	52.0	37.0	38.0	34.0	42.0	19.0	808.0
se_PRO:PER_se	39.0	38.0	33.0	44.0	40.0	51.0	40.0	21.0	43.0	36.0	35.0	39.0	38.0	37.0	41.0	49.0	36.0	31.0	35.0	45.0	18.0	10.0	799.0
des_PRP:det_du	50.0	30.0	48.0	40.0	38.0	51.0	36.0	37.0	28.0	32.0	38.0	41.0	42.0	48.0	21.0	49.0	39.0	24.0	26.0	35.0	34.0	11.0	798.0
que_KON_que	25.0	31.0	27.0	25.0	25.0	38.0	32.0	28.0	42.0	31.0	46.0	45.0	41.0	38.0	43.0	39.0	35.0	55.0	29.0	26.0	45.0	30.0	776.0
!_SENT_!	37.0	45.0	33.0	12.0	23.0	22.0	69.0	28.0	27.0	23.0	34.0	53.0	40.0	31.0	76.0	15.0	26.0	47.0	41.0	34.0	40.0	20.0	776.0
s'_PRO:PER_se	30.0	28.0	34.0	33.0	33.0	41.0	42.0	28.0	35.0	35.0	30.0	28.0	30.0	42.0	36.0	40.0	30.0	37.0	31.0	27.0	27.0	12.0	709.0
dans_PRP_dans	37.0	46.0	31.0	42.0	33.0	39.0	22.0	29.0	39.0	30.0	32.0	24.0	18.0	35.0	19.0	39.0	33.0	36.0	31.0	36.0	38.0	18.0	707.0
ne_ADV_ne	15.0	27.0	21.0	32.0	42.0	19.0	22.0	42.0	41.0	23.0	31.0	41.0	29.0	24.0	36.0	30.0	32.0	32.0	48.0	23.0	29.0	23.0	662.0
avec_PRP_avec	36.0	24.0	26.0	29.0	26.0	42.0	32.0	27.0	32.0	29.0	23.0	37.0	33.0	19.0	39.0	23.0	35.0	37.0	28.0	29.0	22.0	9.0	637.0
est_VER:pres_être	29.0	23.0	14.0	19.0	22.0	25.0	20.0	32.0	19.0	43.0	37.0	55.0	39.0	29.0	32.0	15.0	32.0	46.0	23.0	18.0	34.0	13.0	619.0
du_PRP:det_du	44.0	15.0	29.0	24.0	28.0	38.0	41.0	27.0	20.0	15.0	31.0	29.0	35.0	32.0	30.0	32.0	26.0	22.0	22.0	33.0	27.0	5.0	605.0
pas_ADV_pas	12.0	22.0	14.0	30.0	44.0	24.0	12.0	37.0	25.0	27.0	31.0	39.0	24.0	23.0	31.0	17.0	34.0	27.0	37.0	30.0	20.0	19.0	579.0
je_PRO:PER_je	6.0	27.0	8.0	17.0	23.0	9.0	18.0	38.0	24.0	32.0	41.0	38.0	12.0	13.0	42.0	7.0	28.0	49.0	29.0	25.0	51.0	40.0	577.0
?_SENT_?	4.0	14.0	15.0	11.0	24.0	24.0	20.0	54.0	35.0	16.0	47.0	29.0	36.0	22.0	38.0	9.0	22.0	22.0	28.0	23.0	27.0	8.0	528.0
son_DET:POS_son	31.0	48.0	34.0	27.0	24.0	16.0	33.0	14.0	32.0	20.0	19.0	16.0	27.0	13.0	15.0	16.0	19.0	36.0	22.0	18.0	13.0	3.0	496.0
lui_PRO:PER_lui	17.0	27.0	22.0	18.0	18.0	16.0	29.0	13.0	14.0	16.0	30.0	14.0	20.0	21.0	34.0	29.0	20.0	36.0	35.0	23.0	21.0	10.0	483.0
;_PUN_;	24.0	43.0	36.0	16.0	7.0	6.0	15.0	8.0	17.0	32.0	20.0	27.0	23.0	33.0	20.0	16.0	16.0	22.0	25.0	17.0	23.0	18.0	464.0
était_VER:impf_être	28.0	21.0	33.0	28.0	24.0	17.0	21.0	18.0	17.0	17.0	19.0	14.0	17.0	23.0	17.0	31.0	18.0	29.0	24.0	19.0	14.0	11.0	460.0
au_PRP:det_au	21.0	14.0	15.0	28.0	21.0	21.0	20.0	23.0	21.0	21.0	27.0	24.0	21.0	22.0	27.0	23.0	23.0	20.0	17.0	14.0	18.0	9.0	450.0
plus_ADV_plus	31.0	26.0	21.0	30.0	21.0	18.0	19.0	14.0	25.0	21.0	18.0	22.0	20.0	18.0	24.0	26.0	13.0	16.0	17.0	12.0	26.0	8.0	446.0
sur_PRP_sur	20.0	26.0	22.0	26.0	26.0	27.0	24.0	13.0	13.0	27.0	25.0	13.0	25.0	14.0	20.0	21.0	15.0	17.0	13.0	13.0	9.0	9.0	418.0
avait_VER:impf_avoir	18.0	36.0	19.0	29.0	21.0	17.0	12.0	10.0	21.0	8.0	20.0	13.0	12.0	19.0	15.0	27.0	27.0	16.0	24.0	15.0	22.0	10.0	411.0
pour_PRP_pour	13.0	15.0	17.0	20.0	14.0	9.0	11.0	14.0	21.0	21.0	16.0	21.0	23.0	24.0	23.0	17.0	18.0	28.0	25.0	25.0	21.0	13.0	409.0
nous_PRO:PER_nous	8.0	4.0	9.0	27.0	24.0	12.0	32.0	39.0	7.0	19.0	11.0	33.0	9.0	29.0	11.0	14.0	22.0	7.0	25.0	22.0	19.0	22.0	405.0
n'_ADV_ne	12.0	19.0	18.0	18.0	18.0	27.0	12.0	21.0	9.0	20.0	24.0	22.0	18.0	14.0	21.0	19.0	22.0	17.0	12.0	20.0	20.0	13.0	396.0
par_PRP_par	21.0	8.0	17.0	23.0	20.0	26.0	23.0	11.0	11.0	14.0	23.0	16.0	18.0	16.0	15.0	21.0	23.0	18.0	13.0	22.0	19.0	8.0	386.0
ce_PRO:DEM_ce	18.0	16.0	15.0	15.0	14.0	13.0	11.0	27.0	15.0	32.0	21.0	16.0	8.0	20.0	20.0	11.0	19.0	26.0	17.0	15.0	17.0	15.0	381.0
Le_DET:ART_le	16.0	19.0	12.0	12.0	14.0	20.0	18.0	27.0	10.0	14.0	19.0	14.0	12.0	19.0	23.0	32.0	9.0	12.0	21.0	24.0	13.0	3.0	363.0
ils_PRO:PER_il	5.0	4.0	15.0	42.0	25.0	22.0	15.0	19.0	16.0	25.0	9.0	24.0	21.0	12.0	10.0	27.0	9.0	2.0	18.0	20.0	12.0	2.0	354.0
qu'_PRO:REL_que	10.0	12.0	19.0	14.0	11.0	12.0	11.0	14.0	21.0	13.0	14.0	12.0	17.0	18.0	23.0	17.0	18.0	30.0	17.0	15.0	15.0	2.0	335.0
ses_DET:POS_son	29.0	18.0	21.0	15.0	27.0	8.0	18.0	8.0	7.0	12.0	14.0	11.0	17.0	24.0	9.0	13.0	17.0	11.0	24.0	20.0	6.0	5.0	334.0
sa_DET:POS_son	16.0	20.0	34.0	9.0	19.0	6.0	6.0	13.0	17.0	13.0	13.0	18.0	16.0	11.0	13.0	13.0	14.0	20.0	17.0	11.0	21.0	4.0	324.0
le_PRO:PER_le	7.0	8.0	12.0	16.0	7.0	7.0	13.0	16.0	14.0	15.0	21.0	23.0	13.0	17.0	19.0	12.0	17.0	13.0	22.0	15.0	16.0	8.0	311.0
que_PRO:REL_que	10.0	9.0	10.0	6.0	9.0	11.0	7.0	19.0	13.0	16.0	17.0	12.0	10.0	12.0	15.0	6.0	16.0	15.0	17.0	12.0	21.0	21.0	284.0
sans_PRP_sans	9.0	16.0	14.0	10.0	17.0	11.0	8.0	17.0	15.0	10.0	10.0	8.0	17.0	8.0	11.0	13.0	6.0	20.0	14.0	7.0	14.0	3.0	258.0
mon_DET:POS_mon	2.0	13.0	8.0	3.0	4.0	5.0	3.0	8.0	18.0	10.0	14.0	30.0	10.0	15.0	18.0	0.0	11.0	16.0	5.0	14.0	30.0	17.0	254.0
cette_PRO:DEM_ce	12.0	11.0	13.0	11.0	12.0	8.0	14.0	11.0	19.0	5.0	8.0	9.0	13.0	8.0	8.0	13.0	8.0	15.0	11.0	7.0	15.0	10.0	241.0
qu'_KON_que	12.0	7.0	8.0	17.0	9.0	9.0	7.0	7.0	12.0	9.0	10.0	14.0	7.0	8.0	10.0	15.0	12.0	13.0	16.0	19.0	11.0	8.0	240.0
l'_PRO:PER_la|le	16.0	14.0	9.0	12.0	13.0	4.0	12.0	15.0	9.0	7.0	10.0	9.0	18.0	12.0	14.0	6.0	12.0	12.0	9.0	10.0	14.0	3.0	240.0
en_PRO:PER_en	10.0	8.0	7.0	11.0	15.0	11.0	7.0	6.0	14.0	21.0	7.0	11.0	10.0	12.0	13.0	12.0	11.0	14.0	12.0	12.0	10.0	6.0	240.0
mais_KON_mais	9.0	8.0	6.0	9.0	14.0	6.0	6.0	11.0	8.0	15.0	13.0	10.0	10.0	7.0	12.0	15.0	14.0	14.0	14.0	16.0	15.0	5.0	237.0
elle_PRO:PER_elle	8.0	12.0	3.0	3.0	9.0	7.0	2.0	7.0	17.0	10.0	12.0	8.0	35.0	2.0	5.0	11.0	23.0	34.0	3.0	4.0	15.0	3.0	233.0
me_PRO:PER_me	5.0	6.0	1.0	9.0	5.0	4.0	9.0	15.0	17.0	10.0	12.0	9.0	4.0	10.0	16.0	1.0	8.0	26.0	12.0	7.0	18.0	24.0	228.0
Cœur-Loyal_NAM_cœur-loyal	0.0	0.0	14.0	15.0	14.0	3.0	12.0	2.0	6.0	3.0	3.0	25.0	7.0	17.0	2.0	13.0	21.0	23.0	2.0	21.0	21.0	1.0	225.0
bien_ADV_bien	4.0	2.0	5.0	9.0	6.0	4.0	8.0	21.0	16.0	12.0	18.0	9.0	11.0	9.0	10.0	9.0	10.0	11.0	15.0	12.0	5.0	10.0	216.0
Les_DET:ART_le	8.0	4.0	17.0	9.0	15.0	17.0	23.0	4.0	8.0	5.0	4.0	11.0	12.0	14.0	5.0	22.0	7.0	5.0	6.0	16.0	4.0	0.0	216.0
deux_NUM_deux	5.0	13.0	14.0	21.0	11.0	17.0	10.0	15.0	4.0	6.0	11.0	11.0	4.0	12.0	3.0	8.0	10.0	7.0	11.0	9.0	7.0	1.0	210.0
leur_DET:POS_leur	5.0	3.0	14.0	19.0	17.0	14.0	8.0	5.0	12.0	11.0	14.0	5.0	16.0	7.0	6.0	18.0	7.0	5.0	8.0	8.0	1.0	1.0	204.0
homme_NOM_homme	7.0	17.0	8.0	13.0	3.0	6.0	5.0	8.0	4.0	21.0	5.0	5.0	10.0	9.0	16.0	9.0	12.0	12.0	9.0	6.0	8.0	3.0	196.0
aux_PRP:det_au	10.0	5.0	20.0	11.0	4.0	13.0	10.0	3.0	6.0	5.0	11.0	11.0	7.0	14.0	10.0	15.0	14.0	6.0	6.0	5.0	6.0	3.0	195.0
a_VER:pres_avoir	14.0	9.0	7.0	2.0	6.0	8.0	7.0	4.0	9.0	13.0	8.0	9.0	16.0	6.0	12.0	0.0	16.0	9.0	5.0	10.0	8.0	7.0	185.0
étaient_VER:impf_être	6.0	10.0	11.0	11.0	15.0	11.0	11.0	6.0	6.0	3.0	2.0	5.0	7.0	8.0	4.0	16.0	12.0	7.0	8.0	13.0	5.0	5.0	182.0
dit_VER:pres_dire	5.0	5.0	4.0	12.0	12.0	9.0	13.0	14.0	7.0	8.0	5.0	17.0	6.0	6.0	7.0	1.0	13.0	3.0	9.0	7.0	8.0	8.0	179.0
ces_PRO:DEM_ce	8.0	8.0	15.0	12.0	4.0	8.0	13.0	10.0	18.0	6.0	5.0	9.0	3.0	10.0	8.0	7.0	8.0	2.0	2.0	8.0	8.0	5.0	177.0
capitaine_NOM_capitaine	0.0	0.0	0.0	3.0	5.0	15.0	13.0	19.0	3.0	0.0	9.0	0.0	0.0	26.0	11.0	18.0	9.0	2.0	29.0	14.0	1.0	0.0	177.0
jeune_ADJ_jeune	3.0	6.0	4.0	12.0	7.0	4.0	0.0	10.0	24.0	17.0	7.0	3.0	3.0	2.0	10.0	9.0	20.0	18.0	1.0	6.0	10.0	0.0	176.0
leurs_DET:POS_leur	4.0	2.0	6.0	13.0	22.0	10.0	3.0	5.0	12.0	7.0	3.0	7.0	17.0	13.0	1.0	17.0	6.0	1.0	2.0	8.0	5.0	1.0	165.0
dont_PRO:REL_dont	7.0	6.0	8.0	7.0	10.0	7.0	7.0	10.0	14.0	11.0	1.0	10.0	7.0	6.0	6.0	4.0	8.0	6.0	6.0	5.0	8.0	8.0	162.0
j'_PRO:PER_je	1.0	5.0	3.0	2.0	3.0	3.0	3.0	6.0	6.0	1.0	13.0	7.0	12.0	9.0	16.0	0.0	12.0	16.0	7.0	3.0	15.0	19.0	162.0
répondit_VER:simp_répondre	6.0	7.0	6.0	8.0	10.0	14.0	8.0	10.0	4.0	9.0	8.0	11.0	3.0	7.0	4.0	4.0	11.0	7.0	8.0	9.0	5.0	2.0	161.0
La_DET:ART_le	9.0	5.0	8.0	5.0	12.0	12.0	1.0	5.0	9.0	3.0	9.0	8.0	21.0	8.0	3.0	8.0	9.0	2.0	4.0	9.0	6.0	3.0	159.0
on_PRO:PER_on	9.0	6.0	5.0	9.0	6.0	7.0	5.0	9.0	8.0	6.0	11.0	9.0	12.0	6.0	5.0	5.0	8.0	4.0	4.0	7.0	7.0	10.0	158.0
tous_PRO:IND_tout	4.0	8.0	6.0	5.0	3.0	11.0	7.0	3.0	7.0	10.0	5.0	7.0	5.0	14.0	5.0	7.0	4.0	7.0	11.0	10.0	8.0	5.0	152.0
avaient_VER:impf_avoir	3.0	3.0	10.0	14.0	13.0	13.0	11.0	4.0	2.0	3.0	1.0	8.0	8.0	2.0	3.0	18.0	6.0	6.0	10.0	7.0	2.0	3.0	150.0
chasseur_NOM_chasseur	0.0	0.0	16.0	14.0	7.0	21.0	15.0	0.0	5.0	4.0	0.0	10.0	4.0	6.0	13.0	4.0	7.0	7.0	1.0	10.0	5.0	1.0	150.0
-vous_PRO:PER_vous	0.0	3.0	5.0	8.0	3.0	6.0	1.0	10.0	5.0	9.0	7.0	7.0	4.0	6.0	11.0	5.0	6.0	15.0	11.0	11.0	8.0	8.0	149.0
fit_VER:simp_faire	7.0	6.0	9.0	2.0	8.0	3.0	6.0	11.0	7.0	5.0	3.0	10.0	2.0	14.0	14.0	6.0	4.0	8.0	9.0	5.0	6.0	2.0	147.0
tout_ADV_tout	5.0	6.0	10.0	3.0	10.0	6.0	7.0	5.0	10.0	9.0	11.0	4.0	4.0	7.0	15.0	2.0	5.0	5.0	7.0	9.0	4.0	2.0	146.0
les_PRO:PER_la|le	5.0	0.0	9.0	6.0	9.0	9.0	7.0	14.0	5.0	10.0	5.0	7.0	6.0	2.0	7.0	11.0	4.0	4.0	11.0	7.0	4.0	2.0	144.0
m'_PRO:PER_me	0.0	8.0	2.0	4.0	2.0	4.0	4.0	9.0	10.0	6.0	5.0	5.0	5.0	6.0	9.0	3.0	10.0	9.0	2.0	7.0	21.0	13.0	144.0
