	FevalPP_CavalierFortune_0	FevalPP_CavalierFortune_1	FevalPP_CavalierFortune_2	FevalPP_CavalierFortune_3	FevalPP_CavalierFortune_4	FevalPP_CavalierFortune_5	FevalPP_CavalierFortune_6	FevalPP_CavalierFortune_7	FevalPP_CavalierFortune_8	FevalPP_CavalierFortune_9	FevalPP_CavalierFortune_10	FevalPP_CavalierFortune_11	FevalPP_CavalierFortune_12	FevalPP_CavalierFortune_13	FevalPP_CavalierFortune_14	FevalPP_CavalierFortune_15	FevalPP_CavalierFortune_16	FevalPP_CavalierFortune_17	FevalPP_CavalierFortune_18	FevalPP_CavalierFortune_19	FevalPP_CavalierFortune_20	FevalPP_CavalierFortune_21	FevalPP_CavalierFortune_22	FevalPP_CavalierFortune_23	FevalPP_CavalierFortune_24	FevalPP_CavalierFortune_25	FevalPP_CavalierFortune_26	FevalPP_CavalierFortune_27	FevalPP_CavalierFortune_28	FevalPP_CavalierFortune_29	FevalPP_CavalierFortune_30	FevalPP_CavalierFortune_31	FevalPP_CavalierFortune_32	FevalPP_CavalierFortune_33	FevalPP_CavalierFortune_sum
,_PUN_,	313.0	303.0	288.0	296.0	281.0	289.0	302.0	305.0	258.0	286.0	258.0	278.0	283.0	228.0	283.0	280.0	258.0	256.0	273.0	289.0	330.0	312.0	310.0	323.0	314.0	322.0	316.0	306.0	315.0	285.0	323.0	277.0	300.0	51.0	9691.0
<EOS>_<EOS>_<EOS>	219.0	226.0	221.0	218.0	236.0	234.0	219.0	265.0	294.0	221.0	246.0	249.0	271.0	299.0	251.0	237.0	253.0	233.0	208.0	242.0	239.0	207.0	250.0	235.0	246.0	243.0	272.0	255.0	284.0	207.0	215.0	240.0	226.0	40.0	8001.0
._SENT_.	171.0	175.0	163.0	165.0	180.0	182.0	166.0	189.0	209.0	191.0	183.0	201.0	200.0	215.0	184.0	197.0	164.0	162.0	165.0	177.0	194.0	176.0	169.0	167.0	169.0	188.0	194.0	200.0	193.0	166.0	164.0	178.0	189.0	38.0	6024.0
de_PRP_de	164.0	200.0	178.0	182.0	173.0	181.0	214.0	158.0	133.0	199.0	165.0	170.0	140.0	137.0	159.0	197.0	155.0	149.0	165.0	179.0	166.0	181.0	153.0	124.0	156.0	181.0	175.0	152.0	191.0	200.0	199.0	186.0	171.0	35.0	5668.0
la_DET:ART_le	108.0	115.0	106.0	110.0	134.0	103.0	133.0	86.0	112.0	124.0	128.0	112.0	84.0	78.0	77.0	102.0	86.0	130.0	96.0	91.0	96.0	107.0	105.0	84.0	97.0	106.0	115.0	77.0	71.0	107.0	116.0	126.0	94.0	19.0	3435.0
et_KON_et	100.0	99.0	82.0	100.0	81.0	78.0	84.0	92.0	89.0	96.0	106.0	96.0	84.0	92.0	78.0	76.0	73.0	82.0	105.0	99.0	88.0	90.0	84.0	97.0	83.0	83.0	81.0	87.0	81.0	94.0	99.0	98.0	92.0	20.0	2969.0
le_DET:ART_le	70.0	91.0	72.0	90.0	73.0	62.0	87.0	53.0	43.0	78.0	84.0	90.0	80.0	82.0	84.0	88.0	89.0	75.0	82.0	66.0	66.0	86.0	56.0	80.0	92.0	79.0	57.0	74.0	87.0	99.0	93.0	96.0	75.0	19.0	2598.0
--_PUN_--	55.0	54.0	51.0	34.0	96.0	92.0	50.0	83.0	91.0	45.0	57.0	61.0	79.0	93.0	73.0	94.0	75.0	56.0	60.0	92.0	77.0	59.0	92.0	73.0	73.0	88.0	98.0	106.0	95.0	45.0	46.0	55.0	68.0	5.0	2371.0
à_PRP_à	95.0	75.0	84.0	87.0	67.0	69.0	94.0	62.0	48.0	82.0	75.0	63.0	65.0	68.0	80.0	75.0	69.0	67.0	85.0	61.0	54.0	69.0	69.0	58.0	83.0	79.0	72.0	76.0	62.0	63.0	69.0	61.0	68.0	13.0	2367.0
un_DET:ART_un	72.0	60.0	56.0	71.0	53.0	48.0	55.0	64.0	46.0	54.0	55.0	47.0	52.0	57.0	53.0	48.0	66.0	51.0	68.0	52.0	57.0	63.0	60.0	63.0	65.0	61.0	53.0	57.0	65.0	51.0	66.0	41.0	58.0	6.0	1894.0
