	FevalPP_ErrantsNuit_0	FevalPP_ErrantsNuit_1	FevalPP_ErrantsNuit_2	FevalPP_ErrantsNuit_3	FevalPP_ErrantsNuit_4	FevalPP_ErrantsNuit_5	FevalPP_ErrantsNuit_6	FevalPP_ErrantsNuit_7	FevalPP_ErrantsNuit_8	FevalPP_ErrantsNuit_9	FevalPP_ErrantsNuit_10	FevalPP_ErrantsNuit_11	FevalPP_ErrantsNuit_12	FevalPP_ErrantsNuit_13	FevalPP_ErrantsNuit_14	FevalPP_ErrantsNuit_15	FevalPP_ErrantsNuit_16	FevalPP_ErrantsNuit_17	FevalPP_ErrantsNuit_18	FevalPP_ErrantsNuit_19	FevalPP_ErrantsNuit_20	FevalPP_ErrantsNuit_21	FevalPP_ErrantsNuit_22	FevalPP_ErrantsNuit_23	FevalPP_ErrantsNuit_24	FevalPP_ErrantsNuit_25	FevalPP_ErrantsNuit_sum
<EOS>_<EOS>_<EOS>	275.0	329.0	322.0	334.0	330.0	280.0	356.0	363.0	273.0	322.0	347.0	326.0	255.0	288.0	317.0	292.0	324.0	355.0	324.0	306.0	313.0	290.0	285.0	281.0	289.0	196.0	7972.0
,_PUN_,	310.0	259.0	280.0	225.0	210.0	252.0	244.0	235.0	283.0	336.0	256.0	280.0	309.0	299.0	263.0	295.0	255.0	253.0	250.0	320.0	256.0	252.0	229.0	276.0	248.0	180.0	6855.0
._SENT_.	221.0	230.0	240.0	260.0	238.0	235.0	273.0	255.0	228.0	219.0	227.0	241.0	210.0	207.0	240.0	253.0	259.0	254.0	214.0	225.0	218.0	228.0	254.0	243.0	244.0	155.0	6071.0
de_PRP_de	190.0	155.0	148.0	150.0	152.0	183.0	159.0	153.0	209.0	132.0	174.0	145.0	196.0	179.0	162.0	174.0	172.0	143.0	147.0	150.0	158.0	183.0	209.0	161.0	181.0	134.0	4299.0
la_DET:ART_le	150.0	120.0	104.0	108.0	95.0	106.0	91.0	88.0	118.0	79.0	101.0	94.0	113.0	94.0	94.0	87.0	88.0	76.0	88.0	115.0	107.0	108.0	94.0	120.0	94.0	68.0	2600.0
le_DET:ART_le	87.0	82.0	92.0	81.0	81.0	79.0	83.0	76.0	74.0	94.0	82.0	110.0	88.0	92.0	80.0	70.0	69.0	71.0	56.0	68.0	86.0	78.0	75.0	83.0	66.0	64.0	2067.0
--_PUN_--	48.0	72.0	63.0	73.0	62.0	40.0	73.0	87.0	26.0	102.0	119.0	81.0	57.0	98.0	99.0	59.0	72.0	97.0	76.0	116.0	78.0	42.0	22.0	54.0	46.0	39.0	1801.0
et_KON_et	75.0	64.0	68.0	69.0	75.0	85.0	65.0	56.0	62.0	71.0	66.0	67.0	68.0	80.0	70.0	71.0	62.0	68.0	76.0	68.0	56.0	63.0	79.0	84.0	68.0	58.0	1794.0
à_PRP_à	65.0	46.0	55.0	67.0	58.0	77.0	60.0	68.0	50.0	52.0	50.0	68.0	67.0	63.0	58.0	48.0	43.0	70.0	48.0	60.0	65.0	62.0	72.0	61.0	76.0	49.0	1558.0
!_SENT_!	41.0	69.0	59.0	44.0	69.0	31.0	62.0	61.0	32.0	80.0	122.0	71.0	35.0	44.0	62.0	46.0	59.0	86.0	85.0	57.0	80.0	61.0	45.0	34.0	46.0	33.0	1514.0
l'_DET:ART_le	54.0	49.0	47.0	55.0	39.0	45.0	28.0	38.0	55.0	33.0	50.0	51.0	64.0	63.0	44.0	51.0	51.0	48.0	44.0	36.0	53.0	76.0	57.0	73.0	64.0	33.0	1301.0
un_DET:ART_un	48.0	37.0	44.0	58.0	44.0	54.0	54.0	55.0	62.0	49.0	34.0	49.0	44.0	53.0	46.0	44.0	53.0	43.0	48.0	50.0	47.0	50.0	47.0	24.0	37.0	30.0	1204.0
les_DET:ART_le	50.0	32.0	31.0	33.0	37.0	46.0	41.0	33.0	46.0	36.0	53.0	31.0	75.0	48.0	41.0	49.0	24.0	36.0	15.0	27.0	53.0	49.0	38.0	57.0	48.0	38.0	1067.0
qui_PRO:REL_qui	49.0	34.0	43.0	49.0	52.0	40.0	28.0	37.0	42.0	42.0	40.0	36.0	43.0	38.0	22.0	33.0	44.0	45.0	46.0	29.0	38.0	40.0	38.0	46.0	39.0	27.0	1020.0
d'_PRP_de	36.0	36.0	19.0	35.0	45.0	47.0	38.0	30.0	54.0	45.0	31.0	22.0	59.0	43.0	32.0	40.0	38.0	35.0	34.0	30.0	31.0	47.0	54.0	40.0	46.0	30.0	997.0
