	Flaubert_Education_0	Flaubert_Education_1	Flaubert_Education_2	Flaubert_Education_3	Flaubert_Education_4	Flaubert_Education_5	Flaubert_Education_6	Flaubert_Education_7	Flaubert_Education_8	Flaubert_Education_9	Flaubert_Education_10	Flaubert_Education_11	Flaubert_Education_12	Flaubert_Education_13	Flaubert_Education_14	Flaubert_Education_15	Flaubert_Education_16	Flaubert_Education_17	Flaubert_Education_18	Flaubert_Education_19	Flaubert_Education_20	Flaubert_Education_21	Flaubert_Education_22	Flaubert_Education_23	Flaubert_Education_24	Flaubert_Education_25	Flaubert_Education_26	Flaubert_Education_27	Flaubert_Education_28	Flaubert_Education_29	Flaubert_Education_30	Flaubert_Education_31	Flaubert_Education_32	Flaubert_Education_33	Flaubert_Education_34	Flaubert_Education_35	Flaubert_Education_36	Flaubert_Education_37	Flaubert_Education_38	Flaubert_Education_sum
,_PUN_,	395.0	408.0	378.0	411.0	411.0	431.0	388.0	439.0	405.0	441.0	465.0	422.0	401.0	405.0	349.0	381.0	360.0	354.0	357.0	396.0	369.0	405.0	341.0	368.0	361.0	368.0	400.0	390.0	394.0	430.0	339.0	290.0	360.0	344.0	397.0	396.0	346.0	373.0	274.0	14942.0
<EOS>_<EOS>_<EOS>	229.0	233.0	283.0	284.0	242.0	246.0	274.0	249.0	263.0	244.0	205.0	268.0	269.0	246.0	309.0	299.0	321.0	309.0	283.0	296.0	326.0	254.0	273.0	271.0	293.0	308.0	259.0	294.0	310.0	188.0	303.0	326.0	315.0	267.0	257.0	244.0	295.0	297.0	200.0	10632.0
._SENT_.	203.0	199.0	217.0	189.0	184.0	171.0	181.0	202.0	207.0	178.0	141.0	185.0	190.0	169.0	188.0	211.0	179.0	231.0	199.0	197.0	232.0	192.0	193.0	182.0	188.0	241.0	189.0	182.0	202.0	164.0	219.0	207.0	181.0	194.0	195.0	165.0	190.0	187.0	140.0	7464.0
de_PRP_de	169.0	170.0	139.0	142.0	157.0	156.0	143.0	134.0	143.0	174.0	188.0	147.0	166.0	166.0	129.0	129.0	130.0	152.0	161.0	152.0	150.0	182.0	157.0	182.0	153.0	161.0	174.0	137.0	125.0	162.0	162.0	142.0	144.0	148.0	174.0	162.0	136.0	160.0	110.0	5968.0
la_DET:ART_le	89.0	92.0	71.0	74.0	75.0	101.0	70.0	80.0	78.0	84.0	86.0	92.0	75.0	60.0	79.0	70.0	82.0	70.0	75.0	87.0	66.0	76.0	74.0	86.0	81.0	93.0	102.0	102.0	71.0	93.0	72.0	63.0	72.0	70.0	82.0	83.0	77.0	89.0	62.0	3104.0
et_KON_et	77.0	96.0	73.0	79.0	82.0	68.0	82.0	83.0	83.0	77.0	96.0	84.0	68.0	89.0	71.0	81.0	64.0	60.0	82.0	71.0	59.0	75.0	72.0	67.0	69.0	77.0	76.0	79.0	71.0	96.0	63.0	63.0	68.0	63.0	88.0	84.0	63.0	73.0	62.0	2934.0
»_PUN:cit_»	22.0	22.0	42.0	41.0	21.0	41.0	35.0	32.0	43.0	49.0	53.0	63.0	87.0	79.0	106.0	94.0	116.0	100.0	83.0	114.0	103.0	58.0	100.0	123.0	98.0	57.0	63.0	112.0	85.0	37.0	70.0	114.0	113.0	56.0	55.0	90.0	84.0	74.0	64.0	2799.0
!_SENT_!	17.0	30.0	49.0	73.0	46.0	59.0	63.0	42.0	56.0	55.0	47.0	69.0	51.0	65.0	106.0	65.0	116.0	55.0	59.0	79.0	87.0	52.0	72.0	74.0	82.0	59.0	70.0	103.0	86.0	22.0	81.0	110.0	109.0	70.0	56.0	59.0	81.0	85.0	48.0	2608.0
à_PRP_à	80.0	76.0	64.0	60.0	75.0	73.0	66.0	69.0	76.0	67.0	77.0	61.0	63.0	84.0	64.0	51.0	53.0	59.0	62.0	71.0	66.0	67.0	66.0	54.0	48.0	63.0	69.0	60.0	75.0	61.0	65.0	47.0	50.0	77.0	66.0	73.0	57.0	58.0	37.0	2510.0
un_DET:ART_un	63.0	59.0	69.0	53.0	66.0	56.0	68.0	52.0	52.0	70.0	87.0	64.0	59.0	75.0	60.0	49.0	57.0	50.0	48.0	49.0	70.0	69.0	51.0	73.0	57.0	66.0	70.0	73.0	56.0	84.0	50.0	53.0	56.0	59.0	73.0	58.0	48.0	48.0	44.0	2364.0
