	Flaubert_Sallambo_0	Flaubert_Sallambo_1	Flaubert_Sallambo_2	Flaubert_Sallambo_3	Flaubert_Sallambo_4	Flaubert_Sallambo_5	Flaubert_Sallambo_6	Flaubert_Sallambo_7	Flaubert_Sallambo_8	Flaubert_Sallambo_9	Flaubert_Sallambo_10	Flaubert_Sallambo_11	Flaubert_Sallambo_12	Flaubert_Sallambo_13	Flaubert_Sallambo_14	Flaubert_Sallambo_15	Flaubert_Sallambo_16	Flaubert_Sallambo_17	Flaubert_Sallambo_18	Flaubert_Sallambo_19	Flaubert_Sallambo_20	Flaubert_Sallambo_21	Flaubert_Sallambo_22	Flaubert_Sallambo_23	Flaubert_Sallambo_24	Flaubert_Sallambo_25	Flaubert_Sallambo_sum
,_PUN_,	370.0	326.0	337.0	369.0	381.0	330.0	350.0	391.0	385.0	339.0	405.0	404.0	396.0	352.0	417.0	380.0	355.0	350.0	402.0	371.0	338.0	400.0	392.0	384.0	383.0	336.0	9643.0
<EOS>_<EOS>_<EOS>	208.0	230.0	213.0	214.0	213.0	267.0	287.0	186.0	258.0	242.0	211.0	216.0	195.0	214.0	162.0	236.0	260.0	204.0	198.0	202.0	202.0	194.0	208.0	226.0	200.0	126.0	5572.0
._SENT_.	167.0	180.0	151.0	141.0	182.0	229.0	204.0	179.0	160.0	139.0	134.0	177.0	170.0	179.0	146.0	192.0	142.0	180.0	174.0	189.0	191.0	155.0	202.0	197.0	174.0	123.0	4457.0
de_PRP_de	179.0	156.0	140.0	138.0	143.0	150.0	120.0	161.0	138.0	121.0	162.0	170.0	142.0	154.0	159.0	165.0	139.0	145.0	153.0	147.0	161.0	175.0	134.0	147.0	156.0	157.0	3912.0
les_DET:ART_le	127.0	150.0	134.0	131.0	120.0	94.0	92.0	136.0	120.0	110.0	137.0	126.0	154.0	139.0	154.0	78.0	97.0	139.0	140.0	154.0	140.0	143.0	137.0	108.0	132.0	110.0	3302.0
des_PRP:det_du	141.0	126.0	115.0	114.0	165.0	95.0	108.0	108.0	108.0	80.0	124.0	165.0	113.0	124.0	101.0	85.0	67.0	102.0	127.0	151.0	107.0	102.0	102.0	110.0	99.0	110.0	2949.0
et_KON_et	95.0	86.0	102.0	115.0	101.0	84.0	91.0	105.0	94.0	96.0	101.0	98.0	101.0	96.0	99.0	112.0	111.0	111.0	112.0	120.0	124.0	124.0	107.0	95.0	101.0	98.0	2679.0
la_DET:ART_le	84.0	105.0	90.0	96.0	84.0	96.0	92.0	97.0	93.0	86.0	69.0	83.0	97.0	79.0	111.0	83.0	87.0	99.0	81.0	86.0	101.0	90.0	98.0	81.0	98.0	89.0	2355.0
;_PUN_;	32.0	62.0	72.0	61.0	53.0	45.0	52.0	67.0	51.0	32.0	52.0	60.0	82.0	72.0	88.0	68.0	76.0	88.0	77.0	82.0	76.0	85.0	80.0	67.0	87.0	98.0	1765.0
à_PRP_à	74.0	81.0	61.0	53.0	69.0	63.0	56.0	74.0	71.0	66.0	71.0	59.0	79.0	67.0	67.0	60.0	49.0	74.0	61.0	56.0	66.0	61.0	65.0	65.0	53.0	52.0	1673.0
d'_PRP_de	78.0	57.0	80.0	71.0	57.0	56.0	67.0	67.0	60.0	68.0	86.0	81.0	60.0	47.0	69.0	66.0	55.0	60.0	67.0	57.0	52.0	62.0	53.0	65.0	57.0	63.0	1661.0
le_DET:ART_le	55.0	60.0	34.0	58.0	54.0	45.0	63.0	52.0	63.0	55.0	56.0	60.0	40.0	60.0	77.0	62.0	58.0	47.0	40.0	66.0	76.0	64.0	51.0	53.0	47.0	53.0	1449.0
il_PRO:PER_il	26.0	51.0	49.0	40.0	34.0	39.0	54.0	57.0	48.0	39.0	55.0	67.0	35.0	47.0	68.0	32.0	36.0	72.0	52.0	49.0	59.0	60.0	40.0	60.0	66.0	49.0	1284.0
