	France_Thais_0	France_Thais_1	France_Thais_2	France_Thais_3	France_Thais_4	France_Thais_5	France_Thais_6	France_Thais_7	France_Thais_8	France_Thais_9	France_Thais_10	France_Thais_11	France_Thais_12	France_Thais_13	France_Thais_sum
,_PUN_,	309.0	310.0	321.0	345.0	328.0	303.0	328.0	343.0	388.0	321.0	359.0	308.0	280.0	2.0	4245.0
<EOS>_<EOS>_<EOS>	188.0	238.0	233.0	206.0	219.0	245.0	214.0	211.0	211.0	210.0	200.0	250.0	268.0	6.0	2899.0
._SENT_.	167.0	192.0	203.0	188.0	187.0	176.0	186.0	167.0	169.0	176.0	173.0	206.0	193.0	4.0	2387.0
de_PRP_de	189.0	152.0	153.0	163.0	157.0	145.0	139.0	148.0	155.0	173.0	170.0	152.0	165.0	1.0	2062.0
et_KON_et	124.0	113.0	115.0	148.0	145.0	115.0	146.0	133.0	143.0	122.0	141.0	121.0	122.0	1.0	1689.0
la_DET:ART_le	110.0	92.0	98.0	116.0	122.0	93.0	125.0	112.0	80.0	89.0	103.0	111.0	82.0	3.0	1336.0
les_DET:ART_le	97.0	76.0	85.0	125.0	99.0	62.0	82.0	77.0	85.0	64.0	93.0	61.0	67.0	0.0	1073.0
des_PRP:det_du	72.0	71.0	63.0	75.0	90.0	62.0	73.0	83.0	70.0	61.0	124.0	85.0	46.0	0.0	975.0
le_DET:ART_le	76.0	68.0	67.0	75.0	40.0	42.0	65.0	90.0	54.0	71.0	68.0	63.0	67.0	3.0	849.0
à_PRP_à	62.0	58.0	60.0	59.0	65.0	51.0	55.0	60.0	66.0	54.0	67.0	50.0	55.0	0.0	762.0
l'_DET:ART_le	50.0	47.0	73.0	65.0	46.0	35.0	65.0	48.0	44.0	52.0	54.0	44.0	67.0	0.0	690.0
d'_PRP_de	49.0	51.0	69.0	61.0	62.0	50.0	44.0	44.0	55.0	43.0	50.0	49.0	58.0	2.0	687.0
il_PRO:PER_il	87.0	53.0	54.0	56.0	40.0	33.0	39.0	31.0	43.0	67.0	44.0	66.0	29.0	1.0	643.0
que_KON_que	40.0	41.0	30.0	22.0	32.0	65.0	56.0	55.0	33.0	54.0	44.0	42.0	43.0	0.0	557.0
dans_PRP_dans	58.0	47.0	38.0	51.0	68.0	27.0	41.0	36.0	34.0	43.0	27.0	44.0	32.0	1.0	547.0
un_DET:ART_un	45.0	45.0	46.0	40.0	41.0	34.0	35.0	31.0	39.0	47.0	56.0	45.0	33.0	1.0	538.0
qui_PRO:REL_qui	34.0	33.0	40.0	29.0	30.0	42.0	44.0	43.0	44.0	40.0	35.0	47.0	24.0	0.0	485.0
une_DET:ART_un	39.0	31.0	36.0	49.0	35.0	31.0	37.0	23.0	31.0	40.0	38.0	46.0	28.0	0.0	464.0
--_PUN_--	21.0	50.0	35.0	35.0	19.0	41.0	40.0	62.0	37.0	28.0	23.0	33.0	35.0	2.0	461.0
est_VER:pres_être	22.0	37.0	37.0	10.0	25.0	51.0	59.0	47.0	36.0	23.0	36.0	28.0	33.0	0.0	444.0
ne_ADV_ne	30.0	42.0	31.0	15.0	35.0	33.0	32.0	28.0	30.0	41.0	16.0	31.0	25.0	0.0	389.0
en_PRP_en	35.0	43.0	23.0	39.0	27.0	22.0	27.0	28.0	32.0	21.0	40.0	27.0	22.0	2.0	388.0
du_PRP:det_du	38.0	33.0	28.0	26.0	15.0	30.0	21.0	29.0	18.0	31.0	32.0	32.0	24.0	1.0	358.0
!_SENT_!	15.0	25.0	19.0	12.0	23.0	48.0	15.0	25.0	29.0	20.0	17.0	25.0	63.0	2.0	338.0
