	Huysmans_ARebours_0	Huysmans_ARebours_1	Huysmans_ARebours_2	Huysmans_ARebours_3	Huysmans_ARebours_4	Huysmans_ARebours_5	Huysmans_ARebours_6	Huysmans_ARebours_7	Huysmans_ARebours_8	Huysmans_ARebours_9	Huysmans_ARebours_10	Huysmans_ARebours_11	Huysmans_ARebours_12	Huysmans_ARebours_13	Huysmans_ARebours_14	Huysmans_ARebours_15	Huysmans_ARebours_16	Huysmans_ARebours_sum
,_PUN_,	459.0	539.0	547.0	483.0	530.0	513.0	521.0	492.0	538.0	490.0	491.0	468.0	489.0	521.0	478.0	439.0	21.0	8019.0
de_PRP_de	215.0	234.0	244.0	226.0	252.0	177.0	220.0	211.0	253.0	270.0	226.0	185.0	201.0	214.0	233.0	214.0	9.0	3584.0
et_KON_et	148.0	139.0	120.0	98.0	101.0	82.0	85.0	104.0	136.0	131.0	129.0	124.0	128.0	108.0	117.0	118.0	9.0	1877.0
des_PRP:det_du	123.0	90.0	104.0	88.0	131.0	106.0	146.0	100.0	129.0	131.0	101.0	86.0	94.0	119.0	88.0	94.0	7.0	1737.0
la_DET:ART_le	92.0	116.0	125.0	133.0	96.0	88.0	92.0	103.0	112.0	97.0	86.0	84.0	80.0	76.0	94.0	111.0	6.0	1591.0
<EOS>_<EOS>_<EOS>	91.0	68.0	71.0	104.0	88.0	99.0	84.0	97.0	81.0	89.0	96.0	79.0	103.0	77.0	90.0	111.0	9.0	1437.0
les_DET:ART_le	93.0	103.0	107.0	81.0	86.0	76.0	102.0	80.0	85.0	77.0	83.0	90.0	83.0	84.0	100.0	90.0	7.0	1427.0
à_PRP_à	91.0	90.0	65.0	85.0	67.0	100.0	87.0	84.0	65.0	76.0	88.0	85.0	98.0	79.0	81.0	87.0	3.0	1331.0
._SENT_.	89.0	63.0	72.0	98.0	87.0	84.0	77.0	91.0	80.0	85.0	90.0	80.0	82.0	73.0	77.0	69.0	4.0	1301.0
d'_PRP_de	71.0	65.0	78.0	78.0	89.0	55.0	78.0	67.0	78.0	84.0	72.0	77.0	72.0	65.0	69.0	61.0	4.0	1163.0
l'_DET:ART_le	62.0	73.0	95.0	69.0	66.0	68.0	54.0	64.0	84.0	41.0	99.0	72.0	64.0	82.0	85.0	66.0	1.0	1145.0
il_PRO:PER_il	86.0	44.0	45.0	48.0	64.0	72.0	60.0	80.0	70.0	64.0	64.0	78.0	70.0	57.0	48.0	81.0	1.0	1032.0
