	Huysmans_SœursVatard_0	Huysmans_SœursVatard_1	Huysmans_SœursVatard_2	Huysmans_SœursVatard_3	Huysmans_SœursVatard_4	Huysmans_SœursVatard_5	Huysmans_SœursVatard_6	Huysmans_SœursVatard_7	Huysmans_SœursVatard_8	Huysmans_SœursVatard_9	Huysmans_SœursVatard_10	Huysmans_SœursVatard_11	Huysmans_SœursVatard_12	Huysmans_SœursVatard_13	Huysmans_SœursVatard_14	Huysmans_SœursVatard_15	Huysmans_SœursVatard_16	Huysmans_SœursVatard_sum
,_PUN_,	497.0	439.0	443.0	397.0	399.0	388.0	390.0	385.0	361.0	421.0	444.0	386.0	434.0	420.0	397.0	406.0	201.0	6808.0
<EOS>_<EOS>_<EOS>	150.0	170.0	150.0	197.0	186.0	182.0	155.0	175.0	187.0	223.0	149.0	164.0	167.0	212.0	182.0	212.0	123.0	2984.0
de_PRP_de	190.0	145.0	173.0	126.0	168.0	149.0	171.0	144.0	121.0	124.0	172.0	175.0	147.0	101.0	139.0	143.0	75.0	2463.0
._SENT_.	91.0	136.0	109.0	149.0	147.0	131.0	126.0	116.0	124.0	121.0	133.0	146.0	125.0	151.0	141.0	176.0	65.0	2187.0
et_KON_et	123.0	120.0	117.0	107.0	113.0	103.0	149.0	89.0	97.0	86.0	91.0	125.0	77.0	67.0	78.0	101.0	34.0	1677.0
la_DET:ART_le	107.0	100.0	71.0	94.0	74.0	87.0	115.0	76.0	77.0	75.0	88.0	77.0	73.0	56.0	75.0	75.0	45.0	1365.0
à_PRP_à	70.0	80.0	70.0	74.0	72.0	72.0	69.0	76.0	80.0	63.0	97.0	86.0	88.0	73.0	82.0	74.0	31.0	1257.0
des_PRP:det_du	133.0	46.0	44.0	64.0	91.0	80.0	93.0	69.0	46.0	63.0	77.0	77.0	46.0	55.0	78.0	74.0	25.0	1161.0
les_DET:ART_le	87.0	75.0	78.0	69.0	66.0	61.0	77.0	56.0	47.0	48.0	69.0	66.0	75.0	46.0	60.0	56.0	28.0	1064.0
le_DET:ART_le	77.0	78.0	58.0	65.0	54.0	55.0	74.0	51.0	51.0	51.0	57.0	65.0	40.0	47.0	61.0	57.0	27.0	968.0
un_DET:ART_un	57.0	61.0	68.0	42.0	68.0	74.0	63.0	54.0	58.0	60.0	73.0	47.0	52.0	39.0	59.0	58.0	26.0	959.0
il_PRO:PER_il	19.0	37.0	30.0	77.0	60.0	65.0	30.0	83.0	51.0	53.0	64.0	50.0	65.0	91.0	55.0	49.0	31.0	910.0
elle_PRO:PER_elle	21.0	38.0	76.0	54.0	56.0	50.0	47.0	38.0	58.0	35.0	57.0	68.0	85.0	82.0	59.0	56.0	24.0	904.0
d'_PRP_de	51.0	41.0	63.0	43.0	63.0	62.0	62.0	36.0	51.0	45.0	63.0	48.0	60.0	48.0	61.0	56.0	12.0	865.0
se_PRO:PER_se	54.0	52.0	54.0	40.0	44.0	49.0	50.0	31.0	37.0	32.0	57.0	54.0	76.0	57.0	49.0	58.0	22.0	816.0
une_DET:ART_un	60.0	49.0	67.0	48.0	57.0	48.0	56.0	45.0	47.0	49.0	41.0	35.0	42.0	35.0	37.0	36.0	18.0	770.0
l'_DET:ART_le	51.0	50.0	53.0	43.0	30.0	38.0	44.0	43.0	48.0	32.0	50.0	39.0	23.0	37.0	49.0	35.0	27.0	692.0
qui_PRO:REL_qui	54.0	48.0	54.0	33.0	28.0	40.0	28.0	39.0	38.0	20.0	24.0	34.0	32.0	39.0	38.0	38.0	29.0	616.0
!_SENT_!	54.0	21.0	31.0	32.0	29.0	35.0	20.0	44.0	45.0	81.0	15.0	16.0	32.0	55.0	32.0	23.0	51.0	616.0
;_PUN_;	21.0	22.0	15.0	32.0	25.0	34.0	35.0	63.0	58.0	39.0	26.0	53.0	30.0	48.0	38.0	37.0	25.0	601.0
ne_ADV_ne	15.0	28.0	37.0	30.0	46.0	34.0	22.0	46.0	38.0	48.0	31.0	43.0	38.0	49.0	36.0	32.0	15.0	588.0
s'_PRO:PER_se	35.0	47.0	29.0	28.0	38.0	29.0	40.0	21.0	29.0	33.0	42.0	46.0	39.0	33.0	31.0	47.0	15.0	582.0
était_VER:impf_être	16.0	32.0	53.0	50.0	41.0	39.0	32.0	34.0	45.0	26.0	37.0	35.0	24.0	40.0	34.0	27.0	12.0	577.0
pas_ADV_pas	21.0	24.0	46.0	32.0	45.0	31.0	18.0	39.0	51.0	48.0	16.0	24.0	38.0	46.0	26.0	26.0	22.0	553.0
en_PRP_en	52.0	30.0	38.0	28.0	30.0	36.0	31.0	35.0	33.0	29.0	45.0	25.0	25.0	23.0	28.0	27.0	15.0	530.0
que_KON_que	19.0	28.0	20.0	28.0	34.0	39.0	28.0	44.0	30.0	41.0	28.0	31.0	29.0	40.0	27.0	27.0	24.0	517.0
dans_PRP_dans	25.0	38.0	32.0	37.0	27.0	27.0	38.0	32.0	30.0	27.0	36.0	30.0	30.0	18.0	32.0	31.0	17.0	507.0
lui_PRO:PER_lui	6.0	17.0	36.0	26.0	33.0	26.0	16.0	36.0	43.0	28.0	26.0	39.0	38.0	44.0	28.0	40.0	15.0	497.0
avait_VER:impf_avoir	12.0	34.0	39.0	37.0	34.0	22.0	11.0	32.0	36.0	25.0	25.0	42.0	26.0	27.0	27.0	23.0	9.0	461.0
-_PUN_-	26.0	20.0	31.0	34.0	44.0	45.0	13.0	17.0	25.0	24.0	13.0	13.0	26.0	44.0	28.0	42.0	10.0	455.0
sur_PRP_sur	34.0	32.0	19.0	28.0	22.0	30.0	42.0	23.0	21.0	21.0	36.0	32.0	21.0	16.0	23.0	27.0	12.0	439.0
n'_ADV_ne	16.0	18.0	35.0	32.0	21.0	27.0	16.0	29.0	37.0	22.0	25.0	28.0	32.0	27.0	28.0	21.0	22.0	436.0
avec_PRP_avec	23.0	22.0	38.0	21.0	22.0	22.0	22.0	27.0	24.0	28.0	15.0	22.0	20.0	20.0	36.0	25.0	6.0	393.0
qu'_KON_que	8.0	14.0	14.0	34.0	33.0	19.0	13.0	31.0	32.0	16.0	28.0	23.0	28.0	31.0	29.0	23.0	15.0	391.0
sa_DET:POS_son	18.0	30.0	34.0	27.0	18.0	24.0	28.0	20.0	26.0	17.0	24.0	24.0	19.0	23.0	30.0	11.0	12.0	385.0
son_DET:POS_son	17.0	29.0	39.0	18.0	18.0	16.0	33.0	19.0	21.0	25.0	39.0	18.0	24.0	11.0	22.0	23.0	10.0	382.0
du_PRP:det_du	27.0	26.0	19.0	13.0	21.0	31.0	40.0	24.0	14.0	20.0	36.0	23.0	28.0	12.0	18.0	19.0	6.0	377.0
plus_ADV_plus	15.0	12.0	18.0	19.0	25.0	18.0	16.0	18.0	9.0	16.0	28.0	34.0	31.0	35.0	26.0	15.0	21.0	356.0
qu'_PRO:REL_que	11.0	20.0	25.0	23.0	19.0	16.0	10.0	15.0	26.0	18.0	21.0	19.0	20.0	26.0	32.0	26.0	17.0	344.0
pour_PRP_pour	21.0	18.0	17.0	27.0	14.0	20.0	13.0	16.0	27.0	26.0	26.0	23.0	28.0	12.0	24.0	11.0	12.0	335.0
ses_DET:POS_son	14.0	31.0	24.0	16.0	21.0	13.0	12.0	22.0	19.0	14.0	23.0	38.0	24.0	16.0	18.0	21.0	8.0	334.0
