	Maupassant_BelAmi_0	Maupassant_BelAmi_1	Maupassant_BelAmi_2	Maupassant_BelAmi_3	Maupassant_BelAmi_4	Maupassant_BelAmi_5	Maupassant_BelAmi_6	Maupassant_BelAmi_7	Maupassant_BelAmi_8	Maupassant_BelAmi_9	Maupassant_BelAmi_10	Maupassant_BelAmi_11	Maupassant_BelAmi_12	Maupassant_BelAmi_13	Maupassant_BelAmi_14	Maupassant_BelAmi_15	Maupassant_BelAmi_16	Maupassant_BelAmi_17	Maupassant_BelAmi_18	Maupassant_BelAmi_19	Maupassant_BelAmi_20	Maupassant_BelAmi_21	Maupassant_BelAmi_22	Maupassant_BelAmi_23	Maupassant_BelAmi_24	Maupassant_BelAmi_25	Maupassant_BelAmi_26	Maupassant_BelAmi_27	Maupassant_BelAmi_28	Maupassant_BelAmi_sum
,_PUN_,	417.0	418.0	409.0	396.0	365.0	408.0	391.0	366.0	342.0	355.0	408.0	313.0	283.0	351.0	353.0	370.0	366.0	354.0	304.0	337.0	352.0	363.0	324.0	320.0	269.0	352.0	273.0	356.0	100.0	10015.0
<EOS>_<EOS>_<EOS>	231.0	210.0	181.0	215.0	235.0	186.0	238.0	231.0	235.0	214.0	229.0	266.0	291.0	255.0	251.0	217.0	243.0	252.0	277.0	257.0	268.0	246.0	254.0	256.0	325.0	274.0	359.0	255.0	59.0	7010.0
._SENT_.	183.0	193.0	170.0	202.0	191.0	169.0	195.0	182.0	178.0	196.0	182.0	211.0	230.0	204.0	230.0	183.0	202.0	194.0	245.0	214.0	217.0	193.0	210.0	230.0	267.0	219.0	269.0	205.0	55.0	5819.0
de_PRP_de	133.0	146.0	185.0	140.0	136.0	148.0	136.0	132.0	132.0	161.0	182.0	124.0	127.0	127.0	123.0	160.0	144.0	159.0	160.0	126.0	126.0	154.0	113.0	134.0	140.0	108.0	101.0	153.0	44.0	3954.0
et_KON_et	101.0	104.0	106.0	88.0	80.0	118.0	97.0	84.0	90.0	111.0	113.0	83.0	83.0	76.0	82.0	92.0	116.0	73.0	88.0	90.0	81.0	77.0	87.0	93.0	75.0	88.0	62.0	88.0	20.0	2546.0
la_DET:ART_le	81.0	82.0	104.0	75.0	60.0	65.0	82.0	51.0	77.0	86.0	76.0	60.0	81.0	66.0	57.0	90.0	83.0	64.0	61.0	61.0	69.0	54.0	42.0	73.0	56.0	70.0	62.0	86.0	22.0	1996.0
à_PRP_à	68.0	60.0	73.0	68.0	77.0	76.0	63.0	61.0	55.0	66.0	54.0	70.0	56.0	62.0	82.0	63.0	67.0	52.0	45.0	51.0	69.0	99.0	85.0	73.0	53.0	72.0	54.0	72.0	16.0	1862.0
«_PUN:cit_«	45.0	46.0	37.0	71.0	88.0	46.0	70.0	74.0	65.0	56.0	66.0	61.0	82.0	47.0	62.0	63.0	55.0	78.0	56.0	77.0	76.0	66.0	82.0	58.0	65.0	82.0	69.0	38.0	8.0	1789.0
il_PRO:PER_il	61.0	68.0	94.0	50.0	88.0	62.0	63.0	77.0	73.0	71.0	46.0	125.0	69.0	57.0	70.0	45.0	44.0	53.0	41.0	56.0	67.0	56.0	76.0	60.0	43.0	46.0	72.0	38.0	17.0	1788.0
»_PUN:cit_»	45.0	46.0	35.0	63.0	78.0	43.0	62.0	74.0	64.0	54.0	65.0	56.0	79.0	46.0	60.0	64.0	55.0	78.0	55.0	76.0	76.0	61.0	79.0	61.0	70.0	82.0	67.0	36.0	8.0	1738.0
