	Mirbeau_AbbeJules_0	Mirbeau_AbbeJules_1	Mirbeau_AbbeJules_2	Mirbeau_AbbeJules_3	Mirbeau_AbbeJules_4	Mirbeau_AbbeJules_5	Mirbeau_AbbeJules_6	Mirbeau_AbbeJules_7	Mirbeau_AbbeJules_8	Mirbeau_AbbeJules_9	Mirbeau_AbbeJules_10	Mirbeau_AbbeJules_11	Mirbeau_AbbeJules_12	Mirbeau_AbbeJules_13	Mirbeau_AbbeJules_14	Mirbeau_AbbeJules_15	Mirbeau_AbbeJules_16	Mirbeau_AbbeJules_17	Mirbeau_AbbeJules_18	Mirbeau_AbbeJules_19	Mirbeau_AbbeJules_sum
,_PUN_,	525.0	542.0	463.0	509.0	497.0	488.0	539.0	459.0	495.0	487.0	458.0	420.0	388.0	493.0	397.0	400.0	433.0	447.0	413.0	419.0	9272.0
<EOS>_<EOS>_<EOS>	214.0	164.0	233.0	185.0	217.0	209.0	159.0	226.0	166.0	220.0	210.0	240.0	264.0	204.0	231.0	248.0	228.0	258.0	182.0	202.0	4260.0
de_PRP_de	148.0	198.0	149.0	166.0	156.0	171.0	204.0	154.0	167.0	173.0	154.0	148.0	135.0	178.0	164.0	136.0	131.0	133.0	156.0	168.0	3189.0
..._PUN_...	97.0	68.0	136.0	80.0	130.0	126.0	31.0	106.0	167.0	107.0	123.0	158.0	166.0	75.0	137.0	169.0	153.0	163.0	177.0	53.0	2422.0
._SENT_.	108.0	114.0	105.0	121.0	106.0	104.0	111.0	114.0	86.0	121.0	122.0	119.0	127.0	138.0	111.0	114.0	121.0	132.0	102.0	148.0	2324.0
la_DET:ART_le	58.0	80.0	59.0	90.0	64.0	81.0	84.0	88.0	86.0	88.0	83.0	59.0	74.0	102.0	83.0	94.0	83.0	103.0	76.0	87.0	1622.0
et_KON_et	65.0	104.0	83.0	103.0	78.0	93.0	88.0	82.0	79.0	89.0	87.0	78.0	84.0	77.0	74.0	54.0	68.0	71.0	69.0	63.0	1589.0
!_SENT_!	82.0	40.0	100.0	54.0	61.0	51.0	30.0	85.0	55.0	68.0	58.0	83.0	97.0	42.0	73.0	78.0	81.0	93.0	54.0	53.0	1338.0
il_PRO:PER_il	56.0	36.0	63.0	66.0	99.0	91.0	123.0	83.0	76.0	75.0	88.0	65.0	40.0	59.0	60.0	49.0	40.0	44.0	64.0	40.0	1317.0
à_PRP_à	62.0	91.0	66.0	62.0	63.0	61.0	69.0	51.0	55.0	64.0	60.0	70.0	51.0	71.0	69.0	74.0	52.0	44.0	51.0	47.0	1233.0
le_DET:ART_le	49.0	51.0	53.0	65.0	53.0	37.0	72.0	72.0	66.0	67.0	62.0	64.0	51.0	64.0	43.0	58.0	59.0	84.0	58.0	71.0	1199.0
les_DET:ART_le	71.0	67.0	51.0	78.0	47.0	51.0	82.0	72.0	50.0	53.0	53.0	38.0	45.0	60.0	50.0	62.0	46.0	55.0	52.0	45.0	1128.0
des_PRP:det_du	48.0	59.0	48.0	56.0	28.0	69.0	66.0	45.0	58.0	62.0	55.0	70.0	42.0	81.0	63.0	53.0	52.0	50.0	46.0	48.0	1099.0
l'_DET:ART_le	39.0	40.0	51.0	69.0	53.0	57.0	58.0	57.0	72.0	63.0	66.0	47.0	52.0	52.0	47.0	58.0	65.0	62.0	31.0	51.0	1090.0
un_DET:ART_un	53.0	62.0	55.0	41.0	71.0	51.0	54.0	69.0	46.0	44.0	54.0	56.0	59.0	44.0	54.0	44.0	60.0	44.0	42.0	50.0	1053.0
d'_PRP_de	45.0	59.0	44.0	61.0	60.0	53.0	62.0	66.0	50.0	64.0	61.0	37.0	41.0	42.0	46.0	55.0	48.0	45.0	45.0	35.0	1019.0
--_PUN_--	44.0	33.0	52.0	23.0	50.0	29.0	16.0	45.0	37.0	30.0	33.0	64.0	62.0	45.0	56.0	76.0	57.0	68.0	43.0	27.0	890.0
une_DET:ART_un	41.0	39.0	43.0	41.0	52.0	41.0	43.0	38.0	36.0	47.0	36.0	33.0	43.0	50.0	36.0	42.0	49.0	37.0	43.0	34.0	824.0
qui_PRO:REL_qui	23.0	48.0	24.0	41.0	30.0	52.0	40.0	36.0	37.0	37.0	29.0	32.0	33.0	34.0	30.0	27.0	45.0	35.0	32.0	37.0	702.0
ne_ADV_ne	34.0	26.0	32.0	28.0	43.0	30.0	34.0	29.0	44.0	25.0	35.0	37.0	33.0	30.0	31.0	35.0	28.0	24.0	39.0	20.0	637.0
dans_PRP_dans	30.0	35.0	24.0	29.0	28.0	37.0	27.0	18.0	46.0	26.0	29.0	29.0	24.0	30.0	35.0	34.0	26.0	39.0	41.0	33.0	620.0
se_PRO:PER_se	32.0	24.0	19.0	31.0	38.0	51.0	41.0	29.0	36.0	25.0	33.0	28.0	20.0	33.0	23.0	27.0	20.0	31.0	39.0	31.0	611.0
s'_PRO:PER_se	16.0	36.0	35.0	26.0	33.0	35.0	39.0	37.0	21.0	23.0	30.0	31.0	29.0	31.0	26.0	20.0	42.0	22.0	30.0	26.0	588.0
