	Mirbeau_JardinSupplices_0	Mirbeau_JardinSupplices_1	Mirbeau_JardinSupplices_2	Mirbeau_JardinSupplices_3	Mirbeau_JardinSupplices_4	Mirbeau_JardinSupplices_5	Mirbeau_JardinSupplices_6	Mirbeau_JardinSupplices_7	Mirbeau_JardinSupplices_8	Mirbeau_JardinSupplices_9	Mirbeau_JardinSupplices_10	Mirbeau_JardinSupplices_11	Mirbeau_JardinSupplices_12	Mirbeau_JardinSupplices_13	Mirbeau_JardinSupplices_14	Mirbeau_JardinSupplices_15	Mirbeau_JardinSupplices_16	Mirbeau_JardinSupplices_sum
,_PUN_,	466.0	456.0	467.0	444.0	468.0	404.0	418.0	392.0	436.0	386.0	513.0	439.0	414.0	467.0	476.0	452.0	187.0	7285.0
..._PUN_...	132.0	223.0	89.0	217.0	198.0	316.0	237.0	332.0	224.0	184.0	137.0	249.0	357.0	191.0	172.0	203.0	107.0	3568.0
de_PRP_de	176.0	170.0	191.0	187.0	191.0	163.0	155.0	144.0	193.0	171.0	227.0	152.0	158.0	206.0	170.0	192.0	66.0	2912.0
<EOS>_<EOS>_<EOS>	122.0	148.0	162.0	162.0	156.0	225.0	202.0	178.0	209.0	241.0	114.0	182.0	201.0	161.0	149.0	178.0	95.0	2885.0
et_KON_et	91.0	92.0	110.0	90.0	111.0	81.0	85.0	83.0	124.0	88.0	120.0	87.0	108.0	107.0	121.0	114.0	49.0	1661.0
la_DET:ART_le	69.0	99.0	85.0	72.0	84.0	54.0	84.0	59.0	79.0	106.0	72.0	65.0	63.0	69.0	82.0	70.0	31.0	1243.0
!_SENT_!	35.0	56.0	26.0	61.0	41.0	94.0	91.0	72.0	101.0	77.0	41.0	87.0	104.0	66.0	57.0	70.0	47.0	1126.0
._SENT_.	64.0	52.0	112.0	64.0	79.0	60.0	57.0	45.0	70.0	126.0	52.0	51.0	30.0	70.0	69.0	78.0	30.0	1109.0
les_DET:ART_le	91.0	54.0	57.0	58.0	73.0	46.0	40.0	57.0	57.0	54.0	107.0	64.0	68.0	79.0	119.0	63.0	22.0	1109.0
des_PRP:det_du	86.0	49.0	47.0	44.0	46.0	60.0	40.0	56.0	83.0	99.0	93.0	81.0	45.0	94.0	74.0	82.0	23.0	1102.0
d'_PRP_de	54.0	47.0	49.0	51.0	59.0	53.0	52.0	47.0	62.0	51.0	64.0	63.0	47.0	69.0	47.0	68.0	24.0	907.0
à_PRP_à	55.0	69.0	81.0	53.0	69.0	43.0	59.0	48.0	41.0	63.0	58.0	58.0	46.0	49.0	51.0	40.0	23.0	906.0
le_DET:ART_le	76.0	49.0	51.0	41.0	39.0	49.0	51.0	50.0	51.0	45.0	44.0	56.0	58.0	53.0	72.0	43.0	11.0	839.0
un_DET:ART_un	56.0	54.0	46.0	33.0	52.0	61.0	44.0	40.0	50.0	45.0	42.0	50.0	36.0	62.0	57.0	56.0	21.0	805.0
--_PUN_--	30.0	47.0	42.0	57.0	39.0	85.0	64.0	62.0	44.0	44.0	21.0	57.0	53.0	29.0	22.0	57.0	30.0	783.0
l'_DET:ART_le	54.0	38.0	42.0	51.0	50.0	48.0	44.0	39.0	51.0	38.0	66.0	42.0	47.0	44.0	51.0	61.0	14.0	780.0
une_DET:ART_un	40.0	51.0	47.0	47.0	43.0	37.0	27.0	43.0	33.0	30.0	39.0	51.0	45.0	39.0	33.0	52.0	23.0	680.0
que_KON_que	56.0	43.0	42.0	46.0	44.0	34.0	60.0	34.0	38.0	17.0	28.0	33.0	39.0	32.0	28.0	28.0	9.0	611.0
je_PRO:PER_je	28.0	44.0	53.0	51.0	56.0	52.0	47.0	44.0	19.0	16.0	25.0	27.0	39.0	24.0	25.0	31.0	18.0	599.0
ne_ADV_ne	32.0	36.0	39.0	39.0	39.0	41.0	41.0	39.0	32.0	35.0	25.0	30.0	34.0	26.0	46.0	25.0	10.0	569.0
qui_PRO:REL_qui	47.0	40.0	34.0	17.0	36.0	37.0	38.0	28.0	27.0	26.0	33.0	34.0	30.0	46.0	43.0	37.0	10.0	563.0
est_VER:pres_être	43.0	37.0	15.0	38.0	28.0	44.0	25.0	25.0	24.0	34.0	21.0	32.0	43.0	42.0	31.0	34.0	7.0	523.0
dans_PRP_dans	36.0	39.0	33.0	24.0	33.0	22.0	31.0	27.0	37.0	25.0	29.0	34.0	23.0	34.0	40.0	35.0	11.0	513.0
plus_ADV_plus	31.0	26.0	23.0	31.0	24.0	23.0	38.0	34.0	24.0	37.0	28.0	25.0	42.0	28.0	38.0	18.0	16.0	486.0
pas_ADV_pas	25.0	34.0	31.0	31.0	26.0	34.0	34.0	30.0	33.0	21.0	12.0	28.0	36.0	25.0	31.0	24.0	9.0	464.0
en_PRP_en	28.0	28.0	32.0	28.0	28.0	24.0	29.0	28.0	14.0	20.0	27.0	17.0	16.0	26.0	29.0	35.0	11.0	420.0
?_SENT_?	13.0	24.0	14.0	33.0	22.0	51.0	38.0	42.0	25.0	25.0	9.0	26.0	41.0	14.0	15.0	12.0	5.0	409.0
me_PRO:PER_me	9.0	30.0	27.0	38.0	35.0	24.0	39.0	26.0	23.0	20.0	24.0	10.0	22.0	7.0	21.0	24.0	8.0	387.0
il_PRO:PER_il	40.0	34.0	46.0	34.0	24.0	22.0	14.0	14.0	18.0	17.0	19.0	27.0	23.0	22.0	18.0	8.0	5.0	385.0
Et_KON_et	8.0	10.0	11.0	18.0	13.0	34.0	29.0	25.0	24.0	27.0	23.0	28.0	41.0	26.0	17.0	30.0	20.0	384.0
du_PRP:det_du	23.0	11.0	19.0	26.0	24.0	16.0	18.0	26.0	21.0	35.0	31.0	22.0	26.0	13.0	27.0	25.0	7.0	370.0
se_PRO:PER_se	30.0	21.0	15.0	16.0	14.0	19.0	13.0	20.0	22.0	18.0	16.0	25.0	29.0	29.0	25.0	22.0	15.0	349.0
elle_PRO:PER_elle	5.0	13.0	5.0	7.0	17.0	19.0	25.0	29.0	24.0	14.0	12.0	20.0	19.0	20.0	22.0	41.0	34.0	326.0
sur_PRP_sur	17.0	20.0	17.0	15.0	15.0	16.0	18.0	19.0	24.0	11.0	22.0	22.0	19.0	17.0	32.0	30.0	11.0	325.0
nous_PRO:PER_nous	32.0	24.0	12.0	10.0	17.0	27.0	16.0	24.0	23.0	11.0	15.0	22.0	19.0	23.0	15.0	26.0	6.0	322.0
n'_ADV_ne	22.0	21.0	19.0	27.0	21.0	23.0	16.0	16.0	19.0	16.0	14.0	21.0	24.0	19.0	16.0	15.0	6.0	315.0
