	Ponson_Breda_0	Ponson_Breda_1	Ponson_Breda_2	Ponson_Breda_3	Ponson_Breda_4	Ponson_Breda_5	Ponson_Breda_6	Ponson_Breda_7	Ponson_Breda_8	Ponson_Breda_9	Ponson_Breda_10	Ponson_Breda_11	Ponson_Breda_12	Ponson_Breda_13	Ponson_Breda_sum
,_PUN_,	392.0	358.0	330.0	320.0	332.0	317.0	350.0	337.0	310.0	319.0	292.0	322.0	290.0	145.0	4414.0
<EOS>_<EOS>_<EOS>	192.0	285.0	278.0	327.0	264.0	217.0	216.0	295.0	294.0	308.0	298.0	301.0	293.0	139.0	3707.0
._SENT_.	156.0	209.0	227.0	225.0	186.0	183.0	186.0	206.0	208.0	209.0	251.0	233.0	226.0	96.0	2801.0
de_PRP_de	182.0	105.0	141.0	105.0	139.0	137.0	158.0	126.0	138.0	121.0	147.0	136.0	137.0	45.0	1817.0
–_PUN_–	48.0	131.0	89.0	182.0	122.0	68.0	51.0	127.0	132.0	170.0	110.0	128.0	92.0	44.0	1494.0
et_KON_et	117.0	99.0	107.0	87.0	106.0	139.0	120.0	111.0	94.0	75.0	74.0	90.0	87.0	44.0	1350.0
la_DET:ART_le	94.0	57.0	79.0	60.0	88.0	78.0	84.0	60.0	72.0	64.0	70.0	79.0	89.0	28.0	1002.0
le_DET:ART_le	59.0	54.0	72.0	50.0	71.0	83.0	78.0	67.0	74.0	43.0	121.0	98.0	77.0	36.0	983.0
à_PRP_à	70.0	62.0	73.0	81.0	75.0	89.0	64.0	70.0	70.0	52.0	83.0	64.0	73.0	32.0	958.0
un_DET:ART_un	77.0	55.0	80.0	56.0	65.0	67.0	66.0	48.0	50.0	70.0	64.0	66.0	66.0	26.0	856.0
qui_PRO:REL_qui	57.0	54.0	29.0	27.0	55.0	50.0	61.0	38.0	44.0	39.0	39.0	46.0	42.0	13.0	594.0
une_DET:ART_un	46.0	48.0	39.0	43.0	45.0	35.0	51.0	29.0	42.0	40.0	31.0	43.0	47.0	17.0	556.0
est_VER:pres_être	38.0	37.0	25.0	53.0	35.0	40.0	49.0	38.0	42.0	56.0	44.0	34.0	31.0	13.0	535.0
je_PRO:PER_je	40.0	54.0	46.0	48.0	33.0	53.0	34.0	28.0	28.0	53.0	26.0	28.0	28.0	20.0	519.0
d'_PRP_de	51.0	47.0	36.0	26.0	48.0	40.0	33.0	33.0	34.0	39.0	36.0	49.0	31.0	10.0	513.0
vous_PRO:PER_vous	18.0	68.0	41.0	22.0	38.0	40.0	45.0	21.0	50.0	49.0	35.0	28.0	31.0	12.0	498.0
il_PRO:PER_il	28.0	32.0	44.0	19.0	28.0	35.0	39.0	60.0	29.0	38.0	45.0	23.0	46.0	30.0	496.0
!_SENT_!	13.0	30.0	34.0	42.0	46.0	35.0	17.0	44.0	32.0	56.0	40.0	32.0	39.0	29.0	489.0
?_SENT_?	23.0	46.0	23.0	59.0	34.0	11.0	12.0	44.0	55.0	50.0	30.0	39.0	37.0	12.0	475.0
que_KON_que	25.0	37.0	37.0	34.0	38.0	37.0	41.0	40.0	33.0	35.0	22.0	25.0	21.0	19.0	444.0
Juliette_NAM_juliette	13.0	29.0	9.0	42.0	36.0	42.0	26.0	32.0	45.0	49.0	14.0	28.0	51.0	25.0	441.0
Gérard_NAM_gérard	11.0	14.0	12.0	25.0	1.0	37.0	40.0	70.0	73.0	32.0	22.0	20.0	34.0	21.0	412.0
l'_DET:ART_le	43.0	29.0	18.0	29.0	31.0	33.0	35.0	32.0	43.0	21.0	38.0	29.0	23.0	3.0	407.0
ne_ADV_ne	31.0	35.0	28.0	37.0	26.0	37.0	28.0	24.0	35.0	38.0	27.0	27.0	20.0	13.0	406.0
les_DET:ART_le	32.0	28.0	28.0	26.0	32.0	35.0	43.0	20.0	29.0	30.0	21.0	33.0	27.0	8.0	392.0
pas_ADV_pas	24.0	34.0	29.0	36.0	25.0	28.0	32.0	19.0	35.0	36.0	28.0	23.0	21.0	6.0	376.0
elle_PRO:PER_elle	24.0	17.0	20.0	42.0	23.0	29.0	30.0	37.0	29.0	21.0	14.0	27.0	43.0	14.0	370.0
se_PRO:PER_se	24.0	21.0	16.0	19.0	33.0	22.0	15.0	36.0	32.0	30.0	32.0	26.0	28.0	19.0	353.0
des_PRP:det_du	26.0	33.0	23.0	19.0	42.0	27.0	37.0	20.0	17.0	17.0	30.0	24.0	26.0	7.0	348.0
dans_PRP_dans	25.0	21.0	23.0	19.0	24.0	26.0	35.0	25.0	21.0	25.0	22.0	38.0	22.0	14.0	340.0
avait_VER:impf_avoir	38.0	13.0	38.0	10.0	27.0	30.0	16.0	19.0	30.0	18.0	18.0	23.0	34.0	21.0	335.0
