	Ponson_CordePendu_0	Ponson_CordePendu_1	Ponson_CordePendu_2	Ponson_CordePendu_3	Ponson_CordePendu_4	Ponson_CordePendu_5	Ponson_CordePendu_6	Ponson_CordePendu_7	Ponson_CordePendu_8	Ponson_CordePendu_9	Ponson_CordePendu_10	Ponson_CordePendu_11	Ponson_CordePendu_12	Ponson_CordePendu_13	Ponson_CordePendu_14	Ponson_CordePendu_15	Ponson_CordePendu_16	Ponson_CordePendu_17	Ponson_CordePendu_18	Ponson_CordePendu_19	Ponson_CordePendu_20	Ponson_CordePendu_21	Ponson_CordePendu_22	Ponson_CordePendu_23	Ponson_CordePendu_24	Ponson_CordePendu_25	Ponson_CordePendu_26	Ponson_CordePendu_27	Ponson_CordePendu_28	Ponson_CordePendu_29	Ponson_CordePendu_30	Ponson_CordePendu_31	Ponson_CordePendu_32	Ponson_CordePendu_33	Ponson_CordePendu_34	Ponson_CordePendu_35	Ponson_CordePendu_36	Ponson_CordePendu_37	Ponson_CordePendu_38	Ponson_CordePendu_39	Ponson_CordePendu_40	Ponson_CordePendu_41	Ponson_CordePendu_42	Ponson_CordePendu_43	Ponson_CordePendu_44	Ponson_CordePendu_45	Ponson_CordePendu_46	Ponson_CordePendu_47	Ponson_CordePendu_48	Ponson_CordePendu_sum
<EOS>_<EOS>_<EOS>	411.0	400.0	405.0	401.0	420.0	294.0	328.0	340.0	353.0	383.0	366.0	379.0	350.0	363.0	358.0	360.0	362.0	350.0	411.0	422.0	392.0	427.0	401.0	381.0	355.0	364.0	377.0	359.0	327.0	352.0	298.0	363.0	332.0	377.0	412.0	412.0	414.0	407.0	394.0	378.0	373.0	344.0	384.0	352.0	331.0	335.0	321.0	355.0	280.0	18053.0
._SENT_.	295.0	300.0	270.0	311.0	280.0	246.0	261.0	252.0	259.0	284.0	304.0	309.0	319.0	299.0	319.0	329.0	303.0	304.0	320.0	374.0	327.0	334.0	309.0	307.0	315.0	330.0	331.0	393.0	341.0	374.0	329.0	353.0	376.0	324.0	327.0	365.0	350.0	316.0	300.0	313.0	330.0	307.0	359.0	381.0	345.0	369.0	318.0	375.0	320.0	15756.0
,_PUN_,	300.0	263.0	285.0	257.0	265.0	299.0	311.0	327.0	307.0	262.0	266.0	260.0	296.0	337.0	255.0	287.0	272.0	298.0	256.0	233.0	260.0	274.0	244.0	251.0	236.0	286.0	260.0	291.0	271.0	233.0	256.0	245.0	347.0	287.0	250.0	234.0	256.0	279.0	250.0	245.0	233.0	302.0	260.0	288.0	263.0	236.0	254.0	273.0	281.0	13281.0
--_PUN_--	205.0	194.0	236.0	206.0	248.0	83.0	134.0	166.0	181.0	198.0	108.0	152.0	143.0	212.0	112.0	189.0	127.0	209.0	272.0	301.0	260.0	282.0	257.0	191.0	167.0	172.0	218.0	212.0	115.0	145.0	86.0	199.0	173.0	265.0	275.0	284.0	281.0	260.0	244.0	173.0	187.0	165.0	224.0	206.0	105.0	126.0	134.0	188.0	139.0	9409.0
de_PRP_de	131.0	104.0	102.0	97.0	98.0	157.0	124.0	120.0	135.0	130.0	110.0	137.0	98.0	106.0	130.0	106.0	142.0	107.0	120.0	100.0	106.0	83.0	92.0	104.0	153.0	125.0	116.0	115.0	147.0	126.0	172.0	117.0	101.0	124.0	106.0	99.0	101.0	92.0	91.0	109.0	158.0	120.0	111.0	122.0	142.0	144.0	154.0	110.0	88.0	5782.0
à_PRP_à	62.0	76.0	53.0	77.0	47.0	67.0	68.0	58.0	56.0	64.0	67.0	74.0	72.0	61.0	104.0	83.0	94.0	62.0	51.0	57.0	72.0	61.0	83.0	60.0	78.0	93.0	60.0	78.0	86.0	70.0	102.0	70.0	77.0	67.0	50.0	65.0	57.0	82.0	73.0	63.0	74.0	88.0	67.0	78.0	85.0	76.0	100.0	63.0	72.0	3503.0
et_KON_et	71.0	80.0	47.0	79.0	62.0	96.0	90.0	83.0	71.0	69.0	71.0	72.0	73.0	73.0	62.0	74.0	73.0	68.0	62.0	36.0	60.0	39.0	56.0	74.0	99.0	71.0	64.0	62.0	83.0	70.0	64.0	67.0	65.0	64.0	53.0	48.0	44.0	53.0	56.0	83.0	88.0	74.0	62.0	64.0	79.0	74.0	60.0	71.0	54.0	3313.0
la_DET:ART_le	109.0	78.0	48.0	109.0	60.0	95.0	84.0	59.0	56.0	67.0	93.0	59.0	51.0	56.0	42.0	53.0	70.0	58.0	61.0	56.0	42.0	48.0	40.0	92.0	77.0	72.0	75.0	59.0	69.0	53.0	79.0	57.0	50.0	54.0	63.0	53.0	39.0	54.0	51.0	95.0	67.0	66.0	77.0	58.0	66.0	63.0	69.0	62.0	41.0	3155.0
le_DET:ART_le	69.0	56.0	52.0	54.0	49.0	84.0	53.0	50.0	56.0	74.0	73.0	57.0	58.0	55.0	74.0	55.0	47.0	68.0	60.0	42.0	52.0	56.0	81.0	90.0	86.0	77.0	55.0	41.0	102.0	89.0	68.0	49.0	47.0	58.0	61.0	43.0	53.0	63.0	79.0	89.0	79.0	78.0	52.0	57.0	99.0	87.0	62.0	49.0	37.0	3125.0
?_SENT_?	47.0	58.0	66.0	47.0	83.0	29.0	37.0	43.0	52.0	58.0	34.0	50.0	36.0	50.0	35.0	48.0	40.0	43.0	90.0	85.0	67.0	86.0	77.0	51.0	48.0	60.0	57.0	44.0	36.0	56.0	20.0	52.0	39.0	70.0	88.0	70.0	80.0	80.0	72.0	45.0	63.0	48.0	58.0	48.0	38.0	43.0	35.0	46.0	32.0	2640.0
