	Ponson_RocambolePrison_0	Ponson_RocambolePrison_1	Ponson_RocambolePrison_2	Ponson_RocambolePrison_3	Ponson_RocambolePrison_4	Ponson_RocambolePrison_5	Ponson_RocambolePrison_6	Ponson_RocambolePrison_7	Ponson_RocambolePrison_8	Ponson_RocambolePrison_9	Ponson_RocambolePrison_10	Ponson_RocambolePrison_11	Ponson_RocambolePrison_12	Ponson_RocambolePrison_13	Ponson_RocambolePrison_14	Ponson_RocambolePrison_15	Ponson_RocambolePrison_16	Ponson_RocambolePrison_17	Ponson_RocambolePrison_18	Ponson_RocambolePrison_19	Ponson_RocambolePrison_20	Ponson_RocambolePrison_21	Ponson_RocambolePrison_22	Ponson_RocambolePrison_23	Ponson_RocambolePrison_24	Ponson_RocambolePrison_25	Ponson_RocambolePrison_26	Ponson_RocambolePrison_27	Ponson_RocambolePrison_28	Ponson_RocambolePrison_29	Ponson_RocambolePrison_30	Ponson_RocambolePrison_sum
<EOS>_<EOS>_<EOS>	275.0	262.0	289.0	341.0	305.0	291.0	307.0	293.0	311.0	290.0	320.0	238.0	289.0	304.0	285.0	285.0	284.0	303.0	298.0	339.0	362.0	385.0	337.0	383.0	354.0	337.0	352.0	371.0	376.0	411.0	345.0	9922.0
,_PUN_,	287.0	325.0	317.0	292.0	313.0	299.0	289.0	296.0	295.0	299.0	309.0	304.0	293.0	293.0	297.0	323.0	273.0	288.0	306.0	281.0	304.0	260.0	254.0	290.0	317.0	279.0	291.0	278.0	264.0	253.0	232.0	9001.0
._SENT_.	198.0	220.0	218.0	259.0	243.0	229.0	242.0	247.0	245.0	237.0	257.0	222.0	221.0	221.0	226.0	216.0	221.0	238.0	226.0	250.0	254.0	259.0	247.0	262.0	258.0	262.0	256.0	288.0	261.0	292.0	227.0	7502.0
--_PUN_--	129.0	88.0	135.0	176.0	160.0	146.0	109.0	102.0	131.0	140.0	165.0	20.0	94.0	142.0	96.0	132.0	100.0	133.0	140.0	198.0	231.0	255.0	155.0	246.0	205.0	171.0	205.0	172.0	223.0	239.0	195.0	4833.0
de_PRP_de	112.0	148.0	126.0	101.0	133.0	173.0	132.0	120.0	134.0	133.0	127.0	140.0	142.0	122.0	137.0	128.0	133.0	113.0	124.0	114.0	95.0	109.0	132.0	120.0	111.0	113.0	112.0	126.0	113.0	82.0	69.0	3774.0
et_KON_et	107.0	109.0	86.0	78.0	91.0	107.0	105.0	92.0	87.0	93.0	93.0	125.0	111.0	96.0	89.0	101.0	113.0	80.0	69.0	65.0	70.0	61.0	72.0	65.0	85.0	96.0	76.0	77.0	57.0	74.0	59.0	2689.0
la_DET:ART_le	79.0	82.0	88.0	88.0	72.0	77.0	82.0	97.0	91.0	65.0	79.0	130.0	114.0	108.0	110.0	98.0	86.0	52.0	52.0	56.0	44.0	38.0	62.0	57.0	67.0	76.0	60.0	94.0	75.0	75.0	47.0	2401.0
à_PRP_à	67.0	78.0	75.0	52.0	71.0	76.0	76.0	91.0	78.0	103.0	64.0	89.0	77.0	62.0	63.0	76.0	80.0	59.0	80.0	115.0	69.0	60.0	67.0	57.0	73.0	57.0	76.0	73.0	62.0	53.0	65.0	2244.0
le_DET:ART_le	75.0	78.0	89.0	71.0	52.0	61.0	81.0	82.0	83.0	77.0	59.0	86.0	70.0	47.0	74.0	59.0	56.0	72.0	91.0	83.0	65.0	47.0	89.0	73.0	64.0	56.0	57.0	69.0	57.0	63.0	52.0	2138.0
un_DET:ART_un	74.0	75.0	56.0	50.0	58.0	47.0	68.0	64.0	58.0	52.0	69.0	66.0	68.0	60.0	57.0	52.0	50.0	63.0	41.0	39.0	60.0	46.0	65.0	46.0	42.0	61.0	53.0	37.0	42.0	52.0	40.0	1711.0
il_PRO:PER_il	26.0	27.0	54.0	68.0	33.0	40.0	79.0	60.0	71.0	48.0	46.0	83.0	77.0	70.0	96.0	50.0	60.0	54.0	64.0	40.0	30.0	32.0	34.0	48.0	45.0	52.0	36.0	53.0	40.0	45.0	39.0	1600.0
l'_DET:ART_le	56.0	42.0	55.0	54.0	31.0	60.0	51.0	78.0	54.0	39.0	34.0	83.0	57.0	57.0	65.0	52.0	58.0	50.0	50.0	44.0	46.0	46.0	68.0	77.0	36.0	57.0	21.0	33.0	46.0	35.0	24.0	1559.0
?_SENT_?	44.0	26.0	46.0	51.0	42.0	41.0	29.0	32.0	44.0	41.0	40.0	5.0	23.0	45.0	33.0	36.0	26.0	29.0	40.0	54.0	70.0	74.0	51.0	76.0	57.0	29.0	45.0	36.0	61.0	62.0	52.0	1340.0
