	Stolz_DessusHaie_0	Stolz_DessusHaie_1	Stolz_DessusHaie_2	Stolz_DessusHaie_3	Stolz_DessusHaie_4	Stolz_DessusHaie_5	Stolz_DessusHaie_6	Stolz_DessusHaie_7	Stolz_DessusHaie_8	Stolz_DessusHaie_9	Stolz_DessusHaie_10	Stolz_DessusHaie_11	Stolz_DessusHaie_12	Stolz_DessusHaie_13	Stolz_DessusHaie_sum
,_PUN_,	337.0	350.0	344.0	335.0	332.0	330.0	360.0	355.0	322.0	362.0	348.0	414.0	347.0	232.0	4768.0
<EOS>_<EOS>_<EOS>	251.0	204.0	196.0	196.0	225.0	218.0	273.0	217.0	257.0	242.0	217.0	172.0	195.0	122.0	2985.0
._SENT_.	176.0	165.0	173.0	158.0	185.0	158.0	170.0	157.0	184.0	187.0	166.0	148.0	178.0	99.0	2304.0
de_PRP_de	157.0	143.0	180.0	158.0	167.0	158.0	114.0	147.0	145.0	151.0	139.0	151.0	174.0	103.0	2087.0
la_DET:ART_le	91.0	95.0	116.0	107.0	94.0	80.0	87.0	95.0	74.0	94.0	87.0	94.0	97.0	48.0	1259.0
et_KON_et	93.0	75.0	114.0	89.0	78.0	76.0	60.0	96.0	77.0	87.0	90.0	95.0	77.0	76.0	1183.0
à_PRP_à	54.0	60.0	78.0	88.0	78.0	71.0	52.0	71.0	58.0	46.0	75.0	83.0	80.0	62.0	956.0
le_DET:ART_le	68.0	45.0	76.0	67.0	53.0	85.0	58.0	62.0	63.0	59.0	77.0	65.0	62.0	31.0	871.0
l'_DET:ART_le	40.0	58.0	61.0	44.0	51.0	51.0	41.0	70.0	64.0	46.0	59.0	52.0	57.0	30.0	724.0
il_PRO:PER_il	41.0	50.0	40.0	43.0	51.0	43.0	57.0	70.0	66.0	56.0	58.0	76.0	54.0	19.0	724.0
;_PUN_;	47.0	59.0	39.0	43.0	39.0	47.0	43.0	41.0	53.0	43.0	46.0	39.0	47.0	17.0	603.0
que_KON_que	39.0	51.0	44.0	47.0	36.0	50.0	40.0	44.0	50.0	41.0	26.0	44.0	57.0	22.0	591.0
un_DET:ART_un	47.0	47.0	52.0	48.0	52.0	49.0	30.0	34.0	45.0	42.0	48.0	33.0	37.0	24.0	588.0
ne_ADV_ne	41.0	54.0	42.0	36.0	51.0	48.0	31.0	49.0	37.0	46.0	38.0	39.0	39.0	31.0	582.0
les_DET:ART_le	32.0	33.0	35.0	49.0	32.0	50.0	51.0	50.0	35.0	36.0	39.0	39.0	49.0	21.0	551.0
elle_PRO:PER_elle	34.0	52.0	36.0	39.0	39.0	23.0	11.0	33.0	52.0	46.0	44.0	46.0	54.0	28.0	537.0
d'_PRP_de	39.0	33.0	45.0	45.0	43.0	47.0	29.0	41.0	34.0	30.0	34.0	43.0	39.0	25.0	527.0
était_VER:impf_être	31.0	22.0	37.0	37.0	39.0	40.0	20.0	44.0	54.0	30.0	33.0	50.0	30.0	23.0	490.0
qui_PRO:REL_qui	38.0	30.0	35.0	31.0	49.0	42.0	36.0	33.0	28.0	37.0	38.0	34.0	31.0	19.0	481.0
se_PRO:PER_se	35.0	26.0	37.0	33.0	42.0	29.0	27.0	37.0	37.0	38.0	40.0	42.0	28.0	26.0	477.0
!_SENT_!	48.0	29.0	16.0	21.0	30.0	39.0	65.0	43.0	52.0	27.0	45.0	18.0	17.0	15.0	465.0
avait_VER:impf_avoir	22.0	25.0	27.0	31.0	53.0	17.0	18.0	48.0	41.0	37.0	23.0	52.0	35.0	33.0	462.0
pas_ADV_pas	28.0	40.0	32.0	31.0	42.0	28.0	36.0	38.0	36.0	35.0	27.0	33.0	25.0	20.0	451.0
une_DET:ART_un	43.0	23.0	39.0	50.0	41.0	39.0	22.0	24.0	29.0	19.0	28.0	31.0	41.0	21.0	450.0
lui_PRO:PER_lui	28.0	27.0	37.0	45.0	32.0	28.0	12.0	37.0	39.0	39.0	24.0	46.0	32.0	16.0	442.0
est_VER:pres_être	43.0	61.0	16.0	27.0	37.0	34.0	48.0	30.0	34.0	30.0	36.0	13.0	23.0	8.0	440.0
on_PRO:PER_on	35.0	32.0	39.0	28.0	19.0	40.0	50.0	30.0	32.0	15.0	18.0	22.0	35.0	32.0	427.0
du_PRP:det_du	31.0	35.0	33.0	31.0	20.0	26.0	24.0	31.0	30.0	22.0	34.0	43.0	33.0	12.0	405.0
ce_PRO:DEM_ce	26.0	22.0	17.0	34.0	39.0	32.0	29.0	19.0	33.0	29.0	34.0	34.0	30.0	24.0	402.0
son_DET:POS_son	26.0	28.0	36.0	24.0	30.0	20.0	12.0	41.0	26.0	34.0	24.0	41.0	34.0	20.0	396.0
--_PUN_--	45.0	11.0	20.0	21.0	40.0	10.0	72.0	26.0	45.0	48.0	34.0	8.0	7.0	6.0	393.0
sa_DET:POS_son	33.0	25.0	26.0	32.0	26.0	23.0	19.0	36.0	30.0	29.0	21.0	43.0	27.0	17.0	387.0
des_PRP:det_du	28.0	34.0	31.0	18.0	34.0	30.0	34.0	32.0	28.0	17.0	22.0	29.0	30.0	14.0	381.0
en_PRP_en	30.0	26.0	33.0	33.0	22.0	28.0	29.0	31.0	21.0	27.0	23.0	25.0	31.0	17.0	376.0
