	Verne_DeuxAnsVacances_0	Verne_DeuxAnsVacances_1	Verne_DeuxAnsVacances_2	Verne_DeuxAnsVacances_3	Verne_DeuxAnsVacances_4	Verne_DeuxAnsVacances_5	Verne_DeuxAnsVacances_6	Verne_DeuxAnsVacances_7	Verne_DeuxAnsVacances_8	Verne_DeuxAnsVacances_9	Verne_DeuxAnsVacances_10	Verne_DeuxAnsVacances_11	Verne_DeuxAnsVacances_12	Verne_DeuxAnsVacances_13	Verne_DeuxAnsVacances_14	Verne_DeuxAnsVacances_15	Verne_DeuxAnsVacances_16	Verne_DeuxAnsVacances_17	Verne_DeuxAnsVacances_18	Verne_DeuxAnsVacances_19	Verne_DeuxAnsVacances_20	Verne_DeuxAnsVacances_21	Verne_DeuxAnsVacances_22	Verne_DeuxAnsVacances_23	Verne_DeuxAnsVacances_24	Verne_DeuxAnsVacances_25	Verne_DeuxAnsVacances_26	Verne_DeuxAnsVacances_27	Verne_DeuxAnsVacances_28	Verne_DeuxAnsVacances_29	Verne_DeuxAnsVacances_30	Verne_DeuxAnsVacances_sum
,_PUN_,	343.0	333.0	429.0	418.0	359.0	356.0	351.0	374.0	375.0	419.0	380.0	387.0	378.0	360.0	409.0	355.0	415.0	400.0	367.0	377.0	372.0	388.0	385.0	363.0	368.0	382.0	400.0	420.0	419.0	396.0	289.0	11767.0
<EOS>_<EOS>_<EOS>	252.0	236.0	184.0	182.0	210.0	223.0	227.0	239.0	202.0	197.0	237.0	217.0	223.0	216.0	215.0	216.0	199.0	217.0	214.0	210.0	222.0	205.0	221.0	231.0	222.0	221.0	231.0	229.0	238.0	245.0	146.0	6727.0
de_PRP_de	150.0	161.0	194.0	205.0	172.0	156.0	182.0	163.0	180.0	204.0	189.0	150.0	177.0	200.0	204.0	202.0	209.0	165.0	172.0	220.0	170.0	211.0	151.0	165.0	180.0	163.0	155.0	184.0	161.0	152.0	167.0	5514.0
._SENT_.	174.0	174.0	174.0	153.0	167.0	166.0	180.0	184.0	143.0	174.0	173.0	180.0	158.0	179.0	168.0	172.0	171.0	169.0	171.0	174.0	169.0	175.0	171.0	157.0	162.0	155.0	170.0	122.0	168.0	194.0	131.0	5178.0
à_PRP_à	93.0	131.0	97.0	90.0	113.0	103.0	90.0	82.0	90.0	113.0	93.0	97.0	92.0	96.0	111.0	98.0	98.0	107.0	82.0	95.0	119.0	98.0	101.0	115.0	104.0	92.0	79.0	79.0	85.0	84.0	70.0	2997.0
la_DET:ART_le	77.0	90.0	106.0	88.0	89.0	87.0	88.0	82.0	100.0	129.0	90.0	91.0	80.0	100.0	83.0	72.0	91.0	102.0	88.0	63.0	90.0	102.0	97.0	84.0	88.0	74.0	92.0	101.0	91.0	114.0	94.0	2823.0
et_KON_et	51.0	67.0	88.0	81.0	72.0	52.0	65.0	57.0	67.0	73.0	62.0	83.0	61.0	81.0	78.0	85.0	70.0	74.0	80.0	77.0	76.0	76.0	80.0	70.0	56.0	60.0	78.0	71.0	80.0	80.0	53.0	2204.0
le_DET:ART_le	94.0	74.0	102.0	70.0	59.0	60.0	67.0	52.0	70.0	86.0	50.0	70.0	67.0	68.0	75.0	52.0	63.0	62.0	51.0	69.0	47.0	69.0	73.0	52.0	66.0	54.0	46.0	53.0	62.0	74.0	61.0	2018.0
l'_DET:ART_le	74.0	58.0	67.0	45.0	50.0	72.0	53.0	62.0	64.0	52.0	56.0	63.0	73.0	68.0	58.0	71.0	70.0	85.0	61.0	67.0	55.0	75.0	61.0	85.0	81.0	69.0	54.0	79.0	61.0	48.0	59.0	1996.0
les_DET:ART_le	49.0	52.0	57.0	73.0	44.0	39.0	28.0	32.0	46.0	73.0	69.0	67.0	59.0	65.0	52.0	67.0	80.0	40.0	57.0	64.0	35.0	47.0	54.0	46.0	30.0	39.0	47.0	43.0	49.0	39.0	78.0	1620.0
!_SENT_!	74.0	64.0	8.0	31.0	37.0	68.0	45.0	58.0	36.0	20.0	68.0	33.0	69.0	26.0	43.0	47.0	30.0	28.0	62.0	41.0	67.0	20.0	57.0	64.0	55.0	87.0	63.0	94.0	57.0	53.0	17.0	1522.0
d'_PRP_de	46.0	33.0	57.0	56.0	46.0	49.0	59.0	59.0	46.0	45.0	41.0	45.0	54.0	51.0	53.0	49.0	56.0	45.0	42.0	49.0	39.0	46.0	53.0	44.0	47.0	50.0	49.0	31.0	47.0	41.0	39.0	1467.0
du_PRP:det_du	58.0	47.0	60.0	63.0	40.0	42.0	37.0	51.0	56.0	74.0	56.0	63.0	29.0	33.0	40.0	37.0	53.0	43.0	39.0	41.0	45.0	47.0	38.0	35.0	41.0	39.0	56.0	39.0	45.0	49.0	36.0	1432.0
il_PRO:PER_il	47.0	55.0	45.0	45.0	72.0	62.0	40.0	48.0	36.0	36.0	40.0	41.0	46.0	50.0	38.0	49.0	32.0	47.0	47.0	50.0	46.0	48.0	34.0	49.0	55.0	55.0	37.0	29.0	58.0	51.0	25.0	1413.0
que_KON_que	36.0	54.0	30.0	28.0	49.0	36.0	40.0	36.0	48.0	41.0	34.0	45.0	46.0	32.0	41.0	42.0	41.0	51.0	56.0	48.0	36.0	44.0	34.0	54.0	45.0	44.0	44.0	48.0	55.0	38.0	18.0	1294.0
une_DET:ART_un	45.0	38.0	31.0	55.0	34.0	66.0	44.0	58.0	47.0	26.0	34.0	43.0	33.0	36.0	39.0	28.0	29.0	44.0	38.0	36.0	30.0	39.0	44.0	32.0	32.0	44.0	29.0	28.0	24.0	23.0	16.0	1145.0
