	Verne_VingtMilleLieues_0	Verne_VingtMilleLieues_1	Verne_VingtMilleLieues_2	Verne_VingtMilleLieues_3	Verne_VingtMilleLieues_4	Verne_VingtMilleLieues_5	Verne_VingtMilleLieues_6	Verne_VingtMilleLieues_7	Verne_VingtMilleLieues_8	Verne_VingtMilleLieues_9	Verne_VingtMilleLieues_10	Verne_VingtMilleLieues_11	Verne_VingtMilleLieues_12	Verne_VingtMilleLieues_13	Verne_VingtMilleLieues_14	Verne_VingtMilleLieues_15	Verne_VingtMilleLieues_16	Verne_VingtMilleLieues_17	Verne_VingtMilleLieues_18	Verne_VingtMilleLieues_19	Verne_VingtMilleLieues_20	Verne_VingtMilleLieues_21	Verne_VingtMilleLieues_22	Verne_VingtMilleLieues_23	Verne_VingtMilleLieues_24	Verne_VingtMilleLieues_25	Verne_VingtMilleLieues_26	Verne_VingtMilleLieues_27	Verne_VingtMilleLieues_28	Verne_VingtMilleLieues_29	Verne_VingtMilleLieues_30	Verne_VingtMilleLieues_31	Verne_VingtMilleLieues_32	Verne_VingtMilleLieues_33	Verne_VingtMilleLieues_34	Verne_VingtMilleLieues_35	Verne_VingtMilleLieues_36	Verne_VingtMilleLieues_sum
,_PUN_,	401.0	347.0	382.0	324.0	390.0	382.0	455.0	387.0	423.0	390.0	421.0	459.0	449.0	399.0	405.0	381.0	363.0	387.0	371.0	395.0	383.0	375.0	480.0	364.0	334.0	355.0	347.0	356.0	324.0	441.0	322.0	332.0	413.0	350.0	336.0	327.0	195.0	13945.0
<EOS>_<EOS>_<EOS>	171.0	262.0	244.0	319.0	270.0	267.0	190.0	227.0	257.0	250.0	199.0	187.0	202.0	272.0	278.0	264.0	247.0	207.0	259.0	207.0	246.0	261.0	192.0	254.0	255.0	241.0	217.0	288.0	292.0	222.0	331.0	305.0	215.0	290.0	256.0	315.0	227.0	9186.0
._SENT_.	155.0	210.0	181.0	221.0	199.0	200.0	165.0	175.0	191.0	218.0	187.0	159.0	178.0	211.0	200.0	214.0	202.0	178.0	207.0	186.0	184.0	219.0	166.0	211.0	191.0	201.0	184.0	217.0	235.0	208.0	264.0	242.0	174.0	237.0	209.0	243.0	156.0	7378.0
de_PRP_de	196.0	176.0	155.0	137.0	152.0	138.0	219.0	175.0	155.0	167.0	199.0	198.0	208.0	173.0	147.0	144.0	173.0	186.0	186.0	195.0	155.0	142.0	188.0	177.0	184.0	194.0	183.0	150.0	123.0	184.0	148.0	152.0	191.0	176.0	195.0	141.0	93.0	6255.0
et_KON_et	89.0	79.0	75.0	78.0	86.0	70.0	88.0	87.0	89.0	88.0	97.0	106.0	107.0	85.0	84.0	93.0	91.0	88.0	88.0	97.0	97.0	76.0	108.0	79.0	73.0	93.0	74.0	72.0	60.0	99.0	56.0	80.0	94.0	75.0	62.0	56.0	42.0	3061.0
à_PRP_à	92.0	101.0	85.0	97.0	77.0	76.0	52.0	106.0	64.0	103.0	79.0	89.0	58.0	82.0	96.0	73.0	77.0	93.0	61.0	82.0	101.0	94.0	70.0	81.0	52.0	76.0	61.0	72.0	66.0	70.0	63.0	85.0	102.0	78.0	92.0	66.0	46.0	2918.0
le_DET:ART_le	70.0	61.0	78.0	67.0	47.0	63.0	76.0	80.0	87.0	74.0	54.0	78.0	88.0	79.0	70.0	86.0	76.0	76.0	79.0	89.0	74.0	107.0	88.0	97.0	60.0	69.0	104.0	83.0	93.0	106.0	86.0	81.0	63.0	71.0	95.0	99.0	49.0	2903.0
la_DET:ART_le	94.0	85.0	83.0	71.0	82.0	62.0	67.0	89.0	68.0	71.0	89.0	101.0	77.0	60.0	73.0	79.0	90.0	76.0	70.0	91.0	92.0	90.0	88.0	91.0	71.0	87.0	71.0	70.0	80.0	66.0	78.0	73.0	85.0	64.0	76.0	74.0	52.0	2886.0
l'_DET:ART_le	95.0	85.0	91.0	76.0	62.0	45.0	52.0	77.0	67.0	72.0	55.0	65.0	54.0	56.0	47.0	63.0	44.0	65.0	64.0	58.0	38.0	68.0	47.0	66.0	70.0	49.0	55.0	46.0	40.0	51.0	45.0	53.0	51.0	50.0	79.0	58.0	43.0	2202.0
les_DET:ART_le	88.0	58.0	37.0	35.0	38.0	31.0	73.0	47.0	72.0	53.0	74.0	85.0	65.0	36.0	54.0	57.0	58.0	69.0	58.0	50.0	58.0	61.0	76.0	77.0	63.0	57.0	63.0	57.0	55.0	61.0	53.0	66.0	49.0	56.0	54.0	47.0	39.0	2130.0
des_PRP:det_du	50.0	41.0	36.0	29.0	25.0	20.0	100.0	43.0	62.0	31.0	64.0	74.0	70.0	54.0	48.0	48.0	59.0	78.0	63.0	49.0	68.0	39.0	102.0	61.0	68.0	64.0	58.0	48.0	36.0	69.0	27.0	33.0	98.0	40.0	64.0	39.0	14.0	1972.0
d'_PRP_de	72.0	58.0	51.0	38.0	49.0	38.0	51.0	37.0	42.0	50.0	55.0	44.0	47.0	34.0	43.0	34.0	41.0	51.0	44.0	53.0	47.0	38.0	46.0	46.0	55.0	54.0	61.0	39.0	38.0	38.0	37.0	37.0	52.0	38.0	33.0	35.0	17.0	1643.0
un_DET:ART_un	70.0	52.0	48.0	37.0	38.0	47.0	54.0	39.0	44.0	42.0	53.0	35.0	43.0	56.0	32.0	35.0	51.0	44.0	52.0	52.0	43.0	32.0	39.0	33.0	45.0	45.0	46.0	39.0	38.0	44.0	39.0	38.0	57.0	55.0	47.0	41.0	32.0	1637.0
--_PUN_--	12.0	56.0	42.0	46.0	44.0	67.0	45.0	74.0	70.0	56.0	2.0	12.0	30.0	70.0	64.0	36.0	20.0	31.0	78.0	14.0	84.0	52.0	40.0	11.0	22.0	38.0	37.0	61.0	49.0	26.0	57.0	28.0	42.0	45.0	25.0	21.0	18.0	1525.0
du_PRP:det_du	47.0	27.0	45.0	25.0	29.0	21.0	40.0	50.0	37.0	34.0	35.0	41.0	45.0	26.0	45.0	41.0	47.0	27.0	26.0	50.0	26.0	52.0	41.0	33.0	31.0	37.0	43.0	32.0	50.0	33.0	44.0	43.0	42.0	50.0	32.0	51.0	37.0	1415.0
une_DET:ART_un	50.0	47.0	47.0	43.0	41.0	32.0	46.0	47.0	31.0	43.0	57.0	38.0	48.0	43.0	38.0	40.0	39.0	41.0	33.0	42.0	31.0	29.0	32.0	21.0	44.0	53.0	39.0	39.0	34.0	34.0	35.0	19.0	40.0	30.0	33.0	34.0	22.0	1415.0
ne_ADV_ne	30.0	39.0	46.0	36.0	50.0	60.0	21.0	28.0	33.0	39.0	38.0	18.0	28.0	50.0	29.0	39.0	32.0	36.0	23.0	34.0	37.0	42.0	31.0	32.0	23.0	26.0	41.0	41.0	41.0	34.0	33.0	43.0	33.0	30.0	23.0	37.0	27.0	1283.0
qui_PRO:REL_qui	35.0	43.0	20.0	26.0	31.0	24.0	48.0	39.0	37.0	34.0	41.0	40.0	36.0	36.0	26.0	30.0	36.0	39.0	44.0	36.0	38.0	29.0	39.0	29.0	37.0	40.0	29.0	27.0	32.0	32.0	21.0	31.0	47.0	28.0	39.0	33.0	22.0	1254.0
que_KON_que	22.0	24.0	19.0	35.0	34.0	51.0	29.0	29.0	21.0	34.0	37.0	29.0	31.0	31.0	41.0	32.0	29.0	32.0	26.0	24.0	36.0	28.0	31.0	31.0	37.0	32.0	52.0	49.0	34.0	28.0	33.0	23.0	27.0	30.0	30.0	28.0	20.0	1159.0
je_PRO:PER_je	12.0	28.0	23.0	41.0	47.0	47.0	44.0	45.0	23.0	47.0	43.0	22.0	25.0	35.0	36.0	40.0	37.0	22.0	21.0	33.0	29.0	34.0	23.0	33.0	47.0	28.0	15.0	19.0	22.0	30.0	26.0	36.0	18.0	26.0	24.0	32.0	32.0	1145.0
se_PRO:PER_se	29.0	16.0	46.0	40.0	41.0	23.0	19.0	18.0	30.0	32.0	38.0	32.0	30.0	25.0	19.0	25.0	35.0	26.0	32.0	39.0	25.0	33.0	36.0	23.0	28.0	26.0	24.0	35.0	32.0	32.0	33.0	36.0	29.0	33.0	27.0	45.0	24.0	1116.0
!_SENT_!	8.0	34.0	49.0	69.0	48.0	37.0	16.0	22.0	46.0	11.0	8.0	22.0	10.0	45.0	52.0	22.0	28.0	19.0	26.0	12.0	30.0	15.0	9.0	21.0	35.0	19.0	10.0	47.0	39.0	5.0	36.0	39.0	21.0	31.0	25.0	46.0	45.0	1057.0
dans_PRP_dans	33.0	28.0	28.0	17.0	32.0	25.0	26.0	25.0	27.0	36.0	32.0	21.0	20.0	14.0	24.0	32.0	42.0	41.0	30.0	29.0	27.0	28.0	22.0	40.0	28.0	23.0	32.0	25.0	21.0	18.0	24.0	19.0	15.0	30.0	37.0	27.0	32.0	1010.0
il_PRO:PER_il	23.0	29.0	43.0	34.0	31.0	28.0	19.0	25.0	24.0	23.0	16.0	24.0	27.0	38.0	26.0	26.0	25.0	22.0	15.0	43.0	32.0	39.0	16.0	22.0	16.0	22.0	28.0	27.0	37.0	26.0	29.0	27.0	27.0	25.0	37.0	39.0	15.0	1005.0
pas_ADV_pas	13.0	24.0	34.0	34.0	38.0	45.0	20.0	28.0	20.0	16.0	22.0	17.0	14.0	45.0	37.0	29.0	16.0	28.0	28.0	28.0	31.0	28.0	17.0	25.0	20.0	26.0	28.0	32.0	29.0	28.0	24.0	27.0	25.0	24.0	16.0	31.0	17.0	964.0
en_PRP_en	51.0	32.0	25.0	28.0	23.0	25.0	35.0	37.0	26.0	28.0	39.0	29.0	40.0	20.0	23.0	22.0	20.0	26.0	19.0	27.0	22.0	22.0	23.0	17.0	23.0	25.0	28.0	21.0	25.0	29.0	26.0	17.0	27.0	27.0	29.0	13.0	11.0	960.0
s'_PRO:PER_se	17.0	22.0	36.0	32.0	32.0	21.0	13.0	20.0	19.0	19.0	37.0	22.0	21.0	16.0	28.0	29.0	26.0	12.0	22.0	29.0	12.0	28.0	17.0	19.0	25.0	31.0	11.0	27.0	31.0	20.0	34.0	30.0	24.0	30.0	27.0	46.0	13.0	898.0
nous_PRO:PER_nous	7.0	9.0	19.0	34.0	35.0	34.0	1.0	6.0	14.0	26.0	33.0	12.0	16.0	49.0	21.0	23.0	24.0	29.0	33.0	40.0	14.0	40.0	11.0	24.0	15.0	23.0	21.0	17.0	37.0	25.0	34.0	36.0	21.0	26.0	18.0	36.0	19.0	882.0
ce_PRO:DEM_ce	24.0	17.0	20.0	15.0	19.0	31.0	19.0	26.0	22.0	18.0	16.0	17.0	23.0	24.0	27.0	25.0	26.0	20.0	19.0	24.0	29.0	22.0	28.0	27.0	18.0	31.0	24.0	24.0	22.0	13.0	25.0	20.0	14.0	20.0	24.0	32.0	22.0	827.0
sur_PRP_sur	15.0	16.0	19.0	28.0	16.0	17.0	10.0	15.0	25.0	17.0	21.0	23.0	34.0	12.0	31.0	29.0	28.0	19.0	21.0	27.0	24.0	24.0	20.0	20.0	22.0	21.0	9.0	21.0	22.0	38.0	29.0	22.0	18.0	32.0	24.0	24.0	15.0	808.0
par_PRP_par	25.0	18.0	16.0	12.0	14.0	12.0	33.0	29.0	22.0	26.0	21.0	38.0	42.0	9.0	11.0	27.0	19.0	28.0	15.0	16.0	22.0	22.0	10.0	21.0	18.0	24.0	29.0	18.0	25.0	32.0	20.0	28.0	19.0	21.0	29.0	16.0	9.0	796.0
au_PRP:det_au	15.0	15.0	31.0	14.0	14.0	20.0	15.0	24.0	14.0	20.0	18.0	17.0	19.0	23.0	21.0	20.0	19.0	25.0	23.0	28.0	19.0	24.0	28.0	21.0	26.0	26.0	21.0	14.0	29.0	29.0	22.0	19.0	17.0	26.0	25.0	16.0	18.0	775.0
?_SENT_?	11.0	19.0	14.0	29.0	23.0	30.0	14.0	30.0	21.0	21.0	4.0	8.0	13.0	16.0	27.0	28.0	17.0	13.0	27.0	9.0	35.0	27.0	17.0	21.0	28.0	22.0	22.0	24.0	18.0	9.0	31.0	24.0	19.0	23.0	21.0	23.0	26.0	764.0
Je_PRO:PER_je	6.0	17.0	4.0	24.0	20.0	32.0	22.0	18.0	18.0	30.0	15.0	13.0	12.0	16.0	18.0	25.0	26.0	21.0	16.0	21.0	12.0	28.0	20.0	31.0	27.0	25.0	23.0	15.0	19.0	18.0	29.0	18.0	7.0	27.0	16.0	35.0	36.0	760.0
est_VER:pres_être	12.0	14.0	19.0	11.0	14.0	21.0	40.0	40.0	28.0	15.0	6.0	16.0	20.0	22.0	16.0	17.0	11.0	39.0	32.0	17.0	41.0	18.0	25.0	11.0	8.0	15.0	18.0	35.0	18.0	17.0	28.0	10.0	21.0	22.0	26.0	12.0	10.0	745.0
capitaine_NOM_capitaine	4.0	0.0	1.0	0.0	0.0	7.0	32.0	29.0	11.0	30.0	23.0	17.0	24.0	11.0	21.0	36.0	35.0	21.0	24.0	30.0	22.0	28.0	22.0	21.0	27.0	12.0	32.0	21.0	38.0	20.0	26.0	19.0	8.0	21.0	21.0	30.0	16.0	740.0
me_PRO:PER_me	7.0	17.0	7.0	31.0	26.0	20.0	27.0	30.0	12.0	26.0	22.0	15.0	25.0	12.0	21.0	30.0	32.0	14.0	19.0	12.0	22.0	20.0	15.0	31.0	26.0	19.0	12.0	9.0	17.0	13.0	10.0	24.0	12.0	13.0	9.0	16.0	30.0	703.0
plus_ADV_plus	30.0	15.0	24.0	24.0	18.0	16.0	30.0	18.0	14.0	19.0	30.0	22.0	11.0	18.0	20.0	19.0	11.0	14.0	21.0	16.0	20.0	11.0	16.0	21.0	21.0	15.0	27.0	16.0	28.0	15.0	16.0	22.0	16.0	17.0	16.0	19.0	15.0	701.0
n'_ADV_ne	20.0	16.0	24.0	20.0	21.0	27.0	18.0	18.0	13.0	15.0	15.0	8.0	17.0	28.0	26.0	18.0	16.0	15.0	20.0	23.0	25.0	19.0	11.0	20.0	21.0	24.0	24.0	22.0	24.0	16.0	11.0	14.0	16.0	13.0	16.0	18.0	11.0	683.0
