	Zola_Germinal_0	Zola_Germinal_1	Zola_Germinal_2	Zola_Germinal_3	Zola_Germinal_4	Zola_Germinal_5	Zola_Germinal_6	Zola_Germinal_7	Zola_Germinal_8	Zola_Germinal_9	Zola_Germinal_10	Zola_Germinal_11	Zola_Germinal_12	Zola_Germinal_13	Zola_Germinal_14	Zola_Germinal_15	Zola_Germinal_16	Zola_Germinal_17	Zola_Germinal_18	Zola_Germinal_19	Zola_Germinal_20	Zola_Germinal_21	Zola_Germinal_22	Zola_Germinal_23	Zola_Germinal_24	Zola_Germinal_25	Zola_Germinal_26	Zola_Germinal_27	Zola_Germinal_28	Zola_Germinal_29	Zola_Germinal_30	Zola_Germinal_31	Zola_Germinal_32	Zola_Germinal_33	Zola_Germinal_34	Zola_Germinal_35	Zola_Germinal_36	Zola_Germinal_37	Zola_Germinal_38	Zola_Germinal_39	Zola_Germinal_40	Zola_Germinal_41	Zola_Germinal_42	Zola_Germinal_43	Zola_Germinal_44	Zola_Germinal_sum
,_PUN_,	503.0	493.0	484.0	470.0	455.0	493.0	460.0	505.0	454.0	468.0	498.0	501.0	520.0	470.0	464.0	470.0	450.0	454.0	451.0	463.0	479.0	441.0	503.0	522.0	478.0	461.0	445.0	480.0	490.0	501.0	494.0	505.0	485.0	489.0	505.0	483.0	464.0	469.0	480.0	526.0	488.0	497.0	516.0	505.0	112.0	21344.0
<EOS>_<EOS>_<EOS>	212.0	226.0	229.0	241.0	244.0	221.0	231.0	224.0	237.0	251.0	207.0	177.0	212.0	197.0	227.0	244.0	219.0	241.0	198.0	226.0	251.0	247.0	222.0	185.0	218.0	246.0	237.0	273.0	225.0	220.0	250.0	182.0	210.0	211.0	224.0	223.0	206.0	237.0	243.0	219.0	207.0	270.0	269.0	222.0	35.0	9996.0
._SENT_.	166.0	176.0	185.0	199.0	195.0	204.0	196.0	196.0	174.0	190.0	164.0	158.0	182.0	156.0	187.0	199.0	192.0	206.0	174.0	165.0	200.0	205.0	182.0	157.0	162.0	187.0	193.0	190.0	170.0	171.0	192.0	155.0	155.0	163.0	185.0	171.0	162.0	185.0	198.0	194.0	185.0	218.0	210.0	186.0	30.0	8070.0
de_PRP_de	175.0	172.0	164.0	157.0	168.0	162.0	167.0	202.0	149.0	148.0	133.0	165.0	181.0	172.0	144.0	137.0	162.0	148.0	175.0	139.0	159.0	149.0	174.0	173.0	186.0	165.0	160.0	174.0	185.0	162.0	167.0	190.0	153.0	156.0	148.0	182.0	183.0	161.0	161.0	166.0	136.0	128.0	144.0	171.0	36.0	7189.0
la_DET:ART_le	86.0	125.0	124.0	119.0	103.0	123.0	128.0	119.0	130.0	99.0	85.0	121.0	107.0	109.0	86.0	116.0	85.0	97.0	111.0	108.0	134.0	138.0	92.0	133.0	118.0	113.0	113.0	135.0	140.0	120.0	130.0	130.0	139.0	104.0	98.0	105.0	116.0	119.0	104.0	102.0	109.0	107.0	99.0	122.0	26.0	5027.0
les_DET:ART_le	83.0	78.0	76.0	65.0	71.0	67.0	66.0	78.0	70.0	51.0	66.0	79.0	84.0	91.0	72.0	84.0	49.0	63.0	86.0	56.0	86.0	63.0	49.0	79.0	82.0	64.0	100.0	87.0	59.0	86.0	63.0	88.0	69.0	63.0	54.0	70.0	82.0	68.0	87.0	94.0	98.0	64.0	48.0	59.0	28.0	3225.0
le_DET:ART_le	104.0	92.0	71.0	62.0	79.0	70.0	60.0	55.0	73.0	71.0	73.0	67.0	65.0	63.0	68.0	80.0	77.0	62.0	77.0	72.0	60.0	76.0	53.0	84.0	64.0	47.0	64.0	61.0	70.0	66.0	69.0	87.0	70.0	62.0	85.0	70.0	73.0	75.0	66.0	69.0	69.0	65.0	57.0	77.0	19.0	3099.0
à_PRP_à	75.0	70.0	69.0	69.0	59.0	80.0	65.0	50.0	55.0	61.0	76.0	65.0	77.0	61.0	60.0	58.0	72.0	65.0	68.0	59.0	62.0	61.0	69.0	76.0	71.0	62.0	63.0	78.0	68.0	64.0	75.0	70.0	58.0	64.0	61.0	79.0	54.0	73.0	51.0	47.0	73.0	46.0	54.0	62.0	16.0	2871.0
il_PRO:PER_il	61.0	39.0	74.0	62.0	55.0	64.0	32.0	29.0	30.0	73.0	97.0	79.0	31.0	53.0	57.0	63.0	54.0	66.0	44.0	71.0	95.0	54.0	79.0	70.0	69.0	59.0	65.0	52.0	101.0	51.0	67.0	81.0	47.0	74.0	96.0	66.0	49.0	95.0	99.0	59.0	53.0	72.0	59.0	78.0	14.0	2838.0
et_KON_et	50.0	73.0	65.0	68.0	53.0	73.0	75.0	61.0	56.0	64.0	45.0	69.0	68.0	68.0	63.0	63.0	62.0	55.0	74.0	60.0	55.0	60.0	63.0	75.0	57.0	47.0	46.0	42.0	47.0	67.0	48.0	39.0	49.0	50.0	48.0	67.0	63.0	61.0	56.0	57.0	62.0	52.0	46.0	57.0	12.0	2591.0
d'_PRP_de	63.0	61.0	57.0	58.0	63.0	57.0	42.0	53.0	41.0	49.0	45.0	58.0	51.0	66.0	63.0	61.0	64.0	34.0	47.0	53.0	38.0	53.0	62.0	55.0	56.0	51.0	60.0	37.0	57.0	47.0	39.0	59.0	41.0	43.0	54.0	54.0	53.0	43.0	62.0	66.0	53.0	30.0	52.0	51.0	7.0	2309.0
des_PRP:det_du	51.0	52.0	54.0	41.0	45.0	66.0	38.0	48.0	45.0	41.0	42.0	52.0	62.0	55.0	52.0	40.0	44.0	57.0	59.0	45.0	56.0	34.0	50.0	80.0	58.0	50.0	55.0	67.0	52.0	60.0	42.0	68.0	51.0	39.0	41.0	50.0	53.0	54.0	45.0	65.0	54.0	33.0	27.0	49.0	15.0	2237.0
un_DET:ART_un	58.0	55.0	71.0	52.0	61.0	71.0	63.0	56.0	54.0	46.0	43.0	57.0	53.0	41.0	51.0	50.0	62.0	49.0	47.0	43.0	39.0	48.0	61.0	51.0	38.0	51.0	51.0	47.0	51.0	45.0	47.0	54.0	36.0	47.0	54.0	44.0	42.0	43.0	43.0	62.0	50.0	42.0	50.0	47.0	6.0	2232.0
une_DET:ART_un	52.0	47.0	47.0	56.0	50.0	60.0	37.0	33.0	42.0	40.0	39.0	65.0	54.0	50.0	50.0	46.0	43.0	31.0	41.0	41.0	35.0	45.0	52.0	48.0	35.0	54.0	38.0	36.0	57.0	32.0	40.0	47.0	40.0	42.0	48.0	29.0	39.0	43.0	62.0	44.0	53.0	39.0	44.0	39.0	3.0	1968.0
l'_DET:ART_le	37.0	36.0	32.0	34.0	42.0	33.0	37.0	34.0	30.0	44.0	44.0	43.0	48.0	59.0	47.0	50.0	38.0	37.0	25.0	36.0	47.0	42.0	47.0	57.0	38.0	24.0	36.0	25.0	40.0	43.0	32.0	50.0	42.0	35.0	35.0	43.0	45.0	41.0	52.0	56.0	45.0	42.0	61.0	43.0	14.0	1821.0
se_PRO:PER_se	21.0	38.0	59.0	33.0	40.0	31.0	24.0	33.0	38.0	44.0	44.0	43.0	41.0	64.0	50.0	38.0	29.0	35.0	31.0	38.0	35.0	47.0	46.0	28.0	30.0	48.0	46.0	32.0	41.0	33.0	36.0	38.0	29.0	35.0	48.0	52.0	24.0	40.0	44.0	42.0	40.0	41.0	44.0	38.0	10.0	1721.0
s'_PRO:PER_se	24.0	40.0	37.0	37.0	34.0	30.0	29.0	31.0	30.0	36.0	38.0	35.0	36.0	31.0	40.0	42.0	25.0	34.0	33.0	34.0	52.0	47.0	43.0	26.0	27.0	48.0	29.0	47.0	41.0	25.0	30.0	37.0	30.0	37.0	40.0	38.0	36.0	31.0	46.0	48.0	39.0	49.0	29.0	37.0	7.0	1595.0
!_SENT_!	29.0	37.0	32.0	32.0	44.0	11.0	35.0	27.0	55.0	42.0	28.0	8.0	24.0	26.0	23.0	34.0	28.0	38.0	20.0	44.0	42.0	30.0	21.0	24.0	39.0	41.0	37.0	77.0	53.0	46.0	66.0	17.0	44.0	43.0	20.0	43.0	32.0	34.0	21.0	18.0	19.0	36.0	43.0	19.0	4.0	1486.0
--_PUN_--	37.0	38.0	35.0	42.0	36.0	31.0	38.0	40.0	51.0	48.0	20.0	21.0	21.0	19.0	33.0	27.0	25.0	50.0	24.0	38.0	34.0	32.0	30.0	14.0	41.0	31.0	23.0	32.0	27.0	37.0	34.0	11.0	38.0	42.0	27.0	26.0	16.0	38.0	27.0	15.0	12.0	27.0	44.0	29.0	0.0	1361.0
était_VER:impf_être	19.0	28.0	17.0	31.0	24.0	32.0	35.0	29.0	25.0	31.0	40.0	29.0	27.0	30.0	35.0	38.0	39.0	20.0	25.0	32.0	29.0	35.0	35.0	31.0	26.0	33.0	30.0	28.0	38.0	31.0	33.0	38.0	34.0	26.0	26.0	23.0	34.0	39.0	29.0	36.0	41.0	29.0	27.0	24.0	5.0	1346.0
qui_PRO:REL_qui	26.0	32.0	33.0	33.0	30.0	35.0	31.0	31.0	41.0	30.0	37.0	38.0	29.0	30.0	27.0	31.0	32.0	27.0	38.0	32.0	29.0	24.0	26.0	31.0	33.0	26.0	28.0	30.0	26.0	39.0	36.0	22.0	37.0	29.0	25.0	20.0	26.0	28.0	34.0	31.0	21.0	33.0	24.0	25.0	4.0	1330.0
ne_ADV_ne	24.0	27.0	14.0	34.0	22.0	25.0	32.0	36.0	35.0	32.0	40.0	38.0	25.0	27.0	39.0	31.0	20.0	35.0	34.0	34.0	16.0	45.0	26.0	21.0	24.0	20.0	21.0	29.0	24.0	37.0	26.0	25.0	32.0	34.0	35.0	34.0	26.0	21.0	35.0	30.0	32.0	36.0	39.0	27.0	3.0	1302.0
du_PRP:det_du	41.0	32.0	25.0	22.0	25.0	31.0	24.0	36.0	27.0	25.0	24.0	35.0	33.0	31.0	22.0	27.0	18.0	27.0	33.0	32.0	31.0	24.0	31.0	29.0	25.0	37.0	40.0	34.0	27.0	47.0	26.0	35.0	23.0	26.0	33.0	24.0	29.0	33.0	30.0	32.0	33.0	16.0	13.0	34.0	8.0	1290.0
dans_PRP_dans	24.0	33.0	32.0	32.0	29.0	20.0	32.0	21.0	28.0	27.0	35.0	26.0	21.0	31.0	24.0	30.0	31.0	24.0	23.0	29.0	21.0	25.0	31.0	26.0	27.0	37.0	32.0	32.0	36.0	33.0	29.0	35.0	25.0	26.0	31.0	21.0	35.0	31.0	36.0	26.0	36.0	24.0	33.0	35.0	6.0	1281.0
que_KON_que	30.0	26.0	21.0	28.0	30.0	22.0	28.0	27.0	33.0	31.0	24.0	36.0	37.0	31.0	28.0	28.0	26.0	34.0	40.0	39.0	22.0	33.0	22.0	23.0	40.0	21.0	34.0	23.0	25.0	33.0	21.0	35.0	44.0	42.0	25.0	31.0	27.0	22.0	31.0	20.0	27.0	18.0	19.0	23.0	7.0	1267.0
