	Zola_Nana_0	Zola_Nana_1	Zola_Nana_2	Zola_Nana_3	Zola_Nana_4	Zola_Nana_5	Zola_Nana_6	Zola_Nana_7	Zola_Nana_8	Zola_Nana_9	Zola_Nana_10	Zola_Nana_11	Zola_Nana_12	Zola_Nana_13	Zola_Nana_14	Zola_Nana_15	Zola_Nana_16	Zola_Nana_17	Zola_Nana_18	Zola_Nana_19	Zola_Nana_20	Zola_Nana_21	Zola_Nana_22	Zola_Nana_23	Zola_Nana_24	Zola_Nana_25	Zola_Nana_26	Zola_Nana_27	Zola_Nana_28	Zola_Nana_29	Zola_Nana_30	Zola_Nana_31	Zola_Nana_32	Zola_Nana_33	Zola_Nana_34	Zola_Nana_35	Zola_Nana_36	Zola_Nana_37	Zola_Nana_38	Zola_Nana_sum
,_PUN_,	454.0	459.0	462.0	384.0	458.0	442.0	410.0	472.0	450.0	465.0	468.0	494.0	492.0	426.0	482.0	486.0	492.0	470.0	454.0	473.0	466.0	476.0	477.0	452.0	473.0	492.0	466.0	483.0	500.0	493.0	492.0	461.0	460.0	470.0	434.0	461.0	476.0	452.0	304.0	17981.0
<EOS>_<EOS>_<EOS>	277.0	248.0	242.0	315.0	262.0	255.0	288.0	252.0	272.0	272.0	246.0	264.0	205.0	287.0	262.0	253.0	242.0	287.0	285.0	286.0	244.0	214.0	270.0	291.0	284.0	228.0	256.0	234.0	271.0	267.0	278.0	265.0	273.0	219.0	281.0	210.0	200.0	261.0	194.0	10040.0
._SENT_.	211.0	205.0	205.0	250.0	215.0	195.0	240.0	210.0	217.0	207.0	187.0	214.0	189.0	201.0	219.0	211.0	199.0	225.0	241.0	209.0	194.0	183.0	199.0	205.0	202.0	188.0	195.0	182.0	201.0	195.0	199.0	205.0	213.0	189.0	205.0	170.0	151.0	163.0	130.0	7819.0
de_PRP_de	167.0	155.0	170.0	137.0	152.0	142.0	148.0	152.0	132.0	162.0	169.0	173.0	200.0	142.0	147.0	141.0	168.0	144.0	142.0	153.0	147.0	139.0	150.0	145.0	155.0	183.0	159.0	194.0	153.0	141.0	152.0	153.0	174.0	191.0	135.0	169.0	188.0	143.0	99.0	6066.0
la_DET:ART_le	72.0	95.0	77.0	85.0	91.0	81.0	76.0	50.0	72.0	70.0	104.0	101.0	95.0	85.0	112.0	94.0	88.0	71.0	83.0	81.0	88.0	89.0	87.0	75.0	71.0	72.0	71.0	104.0	71.0	74.0	79.0	77.0	98.0	86.0	83.0	54.0	87.0	87.0	71.0	3207.0
un_DET:ART_un	70.0	72.0	71.0	66.0	69.0	70.0	51.0	55.0	52.0	66.0	48.0	57.0	70.0	78.0	67.0	66.0	89.0	53.0	61.0	43.0	63.0	49.0	74.0	53.0	67.0	74.0	56.0	61.0	63.0	74.0	63.0	55.0	56.0	70.0	57.0	73.0	77.0	68.0	42.0	2469.0
le_DET:ART_le	72.0	87.0	71.0	59.0	65.0	56.0	79.0	50.0	47.0	69.0	89.0	88.0	92.0	84.0	64.0	60.0	79.0	59.0	67.0	59.0	41.0	46.0	57.0	71.0	69.0	48.0	62.0	51.0	49.0	44.0	68.0	60.0	58.0	55.0	55.0	52.0	67.0	55.0	35.0	2439.0
elle_PRO:PER_elle	16.0	39.0	45.0	87.0	54.0	29.0	42.0	44.0	50.0	45.0	21.0	54.0	45.0	69.0	70.0	44.0	60.0	84.0	38.0	83.0	71.0	84.0	43.0	50.0	53.0	64.0	78.0	62.0	41.0	54.0	27.0	73.0	31.0	72.0	78.0	91.0	66.0	58.0	29.0	2144.0
à_PRP_à	55.0	49.0	64.0	49.0	50.0	47.0	63.0	75.0	65.0	51.0	64.0	57.0	59.0	62.0	60.0	59.0	57.0	37.0	56.0	51.0	68.0	63.0	66.0	50.0	39.0	63.0	51.0	46.0	48.0	54.0	41.0	54.0	42.0	50.0	42.0	61.0	50.0	54.0	41.0	2113.0
d'_PRP_de	63.0	58.0	62.0	50.0	54.0	56.0	51.0	47.0	46.0	48.0	59.0	49.0	58.0	53.0	49.0	63.0	58.0	49.0	58.0	41.0	56.0	45.0	51.0	39.0	59.0	75.0	53.0	57.0	46.0	46.0	50.0	58.0	55.0	71.0	45.0	59.0	75.0	43.0	38.0	2093.0
les_DET:ART_le	55.0	58.0	53.0	49.0	49.0	46.0	45.0	58.0	46.0	50.0	63.0	45.0	69.0	30.0	48.0	51.0	53.0	45.0	57.0	42.0	35.0	66.0	46.0	44.0	48.0	48.0	64.0	48.0	69.0	59.0	58.0	46.0	46.0	73.0	31.0	59.0	73.0	53.0	35.0	2013.0
une_DET:ART_un	79.0	58.0	50.0	42.0	55.0	52.0	35.0	45.0	39.0	32.0	56.0	41.0	62.0	56.0	44.0	55.0	63.0	44.0	66.0	37.0	55.0	36.0	53.0	46.0	46.0	47.0	41.0	50.0	43.0	59.0	48.0	53.0	54.0	59.0	48.0	47.0	54.0	56.0	36.0	1942.0
il_PRO:PER_il	37.0	27.0	47.0	25.0	45.0	54.0	51.0	49.0	51.0	44.0	45.0	36.0	37.0	53.0	55.0	41.0	54.0	62.0	115.0	50.0	51.0	60.0	41.0	67.0	59.0	67.0	41.0	55.0	35.0	41.0	27.0	63.0	55.0	47.0	65.0	73.0	71.0	26.0	13.0	1935.0
et_KON_et	59.0	60.0	67.0	40.0	46.0	54.0	53.0	65.0	43.0	47.0	62.0	54.0	62.0	31.0	56.0	47.0	54.0	48.0	42.0	38.0	48.0	55.0	51.0	42.0	44.0	56.0	58.0	58.0	47.0	40.0	55.0	32.0	32.0	41.0	48.0	49.0	56.0	61.0	33.0	1934.0
