	Zola_Oeuvre_0	Zola_Oeuvre_1	Zola_Oeuvre_2	Zola_Oeuvre_3	Zola_Oeuvre_4	Zola_Oeuvre_5	Zola_Oeuvre_6	Zola_Oeuvre_7	Zola_Oeuvre_8	Zola_Oeuvre_9	Zola_Oeuvre_10	Zola_Oeuvre_11	Zola_Oeuvre_12	Zola_Oeuvre_13	Zola_Oeuvre_14	Zola_Oeuvre_15	Zola_Oeuvre_16	Zola_Oeuvre_17	Zola_Oeuvre_18	Zola_Oeuvre_19	Zola_Oeuvre_20	Zola_Oeuvre_21	Zola_Oeuvre_22	Zola_Oeuvre_23	Zola_Oeuvre_24	Zola_Oeuvre_25	Zola_Oeuvre_26	Zola_Oeuvre_27	Zola_Oeuvre_28	Zola_Oeuvre_29	Zola_Oeuvre_30	Zola_Oeuvre_31	Zola_Oeuvre_32	Zola_Oeuvre_33	Zola_Oeuvre_34	Zola_Oeuvre_35	Zola_Oeuvre_sum
,_PUN_,	539.0	498.0	531.0	500.0	502.0	523.0	478.0	481.0	511.0	516.0	525.0	500.0	515.0	518.0	467.0	506.0	498.0	496.0	486.0	516.0	519.0	514.0	522.0	533.0	527.0	556.0	540.0	586.0	565.0	521.0	540.0	480.0	538.0	529.0	524.0	243.0	18343.0
<EOS>_<EOS>_<EOS>	225.0	223.0	174.0	223.0	203.0	211.0	234.0	215.0	189.0	172.0	207.0	224.0	225.0	195.0	202.0	211.0	215.0	220.0	225.0	155.0	193.0	222.0	164.0	175.0	211.0	180.0	189.0	157.0	189.0	204.0	174.0	211.0	211.0	185.0	193.0	91.0	7097.0
de_PRP_de	145.0	147.0	191.0	168.0	202.0	174.0	149.0	152.0	178.0	216.0	156.0	157.0	166.0	189.0	155.0	147.0	154.0	145.0	157.0	176.0	189.0	152.0	188.0	191.0	171.0	160.0	168.0	212.0	178.0	174.0	190.0	168.0	151.0	152.0	184.0	82.0	6034.0
._SENT_.	172.0	168.0	121.0	127.0	136.0	163.0	167.0	145.0	140.0	130.0	155.0	147.0	148.0	142.0	142.0	125.0	137.0	132.0	136.0	116.0	136.0	169.0	131.0	135.0	142.0	106.0	140.0	130.0	134.0	157.0	127.0	150.0	126.0	119.0	130.0	69.0	4950.0
la_DET:ART_le	102.0	81.0	105.0	87.0	80.0	95.0	107.0	103.0	96.0	79.0	71.0	101.0	89.0	90.0	76.0	75.0	73.0	73.0	117.0	96.0	100.0	97.0	81.0	97.0	70.0	78.0	79.0	99.0	91.0	80.0	111.0	86.0	92.0	95.0	89.0	44.0	3185.0
il_PRO:PER_il	99.0	75.0	51.0	90.0	92.0	84.0	38.0	81.0	33.0	43.0	76.0	67.0	56.0	46.0	79.0	76.0	76.0	66.0	74.0	91.0	74.0	58.0	84.0	111.0	95.0	68.0	70.0	62.0	58.0	61.0	88.0	55.0	58.0	61.0	67.0	17.0	2480.0
le_DET:ART_le	67.0	50.0	77.0	49.0	49.0	66.0	60.0	50.0	54.0	60.0	69.0	57.0	57.0	64.0	63.0	72.0	61.0	71.0	60.0	69.0	67.0	66.0	64.0	69.0	53.0	65.0	90.0	75.0	82.0	60.0	76.0	60.0	56.0	47.0	72.0	44.0	2271.0
à_PRP_à	64.0	67.0	69.0	63.0	70.0	61.0	53.0	65.0	68.0	62.0	45.0	50.0	58.0	58.0	58.0	59.0	72.0	64.0	65.0	67.0	53.0	64.0	80.0	71.0	63.0	59.0	57.0	62.0	54.0	50.0	67.0	57.0	67.0	48.0	56.0	28.0	2174.0
d'_PRP_de	58.0	53.0	73.0	50.0	69.0	69.0	61.0	64.0	57.0	63.0	70.0	64.0	55.0	41.0	61.0	55.0	52.0	53.0	48.0	65.0	61.0	80.0	65.0	60.0	61.0	52.0	56.0	72.0	72.0	63.0	49.0	51.0	54.0	61.0	50.0	23.0	2111.0
et_KON_et	60.0	59.0	52.0	70.0	51.0	66.0	56.0	61.0	61.0	62.0	55.0	52.0	72.0	60.0	56.0	58.0	40.0	52.0	37.0	55.0	51.0	42.0	59.0	51.0	43.0	52.0	44.0	40.0	63.0	65.0	70.0	69.0	74.0	91.0	74.0	48.0	2071.0
